Rank,Team,Current_AdjEM,AdjO,AdjD,AdjT,Games,Preseason_AdjEM,SurpriseZ,CollapseFactor,FinalPreseasonWeight,Blended_AdjEM,WAB,Consistency,Volatility_z,Swing_z,Rank,SOS,Road_Pct,Q1_W,Q1_L,Q2_W,Q2_L,Q3_W,Q3_L,Q4_W,Q4_L,T100_W,T100_L
1,Duke,37.29163592862163,125.6,88.4,67.5,34,20.84,2.056454491077704,0.387061327496762,3.87061327496762,35.61017595442184,8.834307107184756,23.269119265245507,1.3958571810220466,1.5997179512680852,1,9.98,0.833,8,3,7,0,12,0,4,0,19,3
2,Houston,34.894957122651064,120.4,85.6,63.5,34,27.43,0.9331196403313831,0.7729985099664594,7.729985099664594,33.51216230041683,10.520168539816975,24.713851930416283,1.3260200253503986,1.5530559262822177,2,13.53,1.0,14,3,8,1,3,0,5,0,25,4
3,Florida,34.820098401277676,125.5,90.7,71.5,34,23.9,1.3650123001597096,0.640487705323062,6.40487705323062,33.0890725259305,10.759758776008695,25.363616142115138,1.2775349885375924,1.565294552849915,3,12.53,0.75,11,4,9,0,3,0,7,0,22,4
4,Auburn,33.794448382916045,124.8,91.0,69.4,33,19.97,1.7280560478645057,0.5082282391513715,5.082282391513715,31.94950248743208,11.978417972005811,28.95910407014985,1.2209048375076839,1.3028584506002185,4,16.86,0.846,12,5,10,0,2,0,4,0,22,5
5,Alabama,30.47445610206138,123.9,93.4,77.2,33,24.81,0.7080570127576729,0.8267711643114691,8.26771164311469,29.339619984373748,9.532422967874828,22.840642000286156,1.384193603370391,1.669335200422899,5,17.59,0.733,12,7,7,1,4,0,2,0,21,8
6,Tennessee,30.22555239665367,118.7,88.5,65.4,34,22.28,0.9931940495817084,0.756798906347536,7.56798906347536,28.77896200351912,9.1448155213861,22.908564909380473,1.3578155703033814,1.7079843762468867,6,14.09,0.571,10,7,6,0,5,0,6,0,18,7
7,Texas Tech,27.038873565844256,122.6,95.5,67.1,33,24.7,0.29235919573053204,0.8990271174100077,8.990271174100076,26.53811215109436,4.828241165098838,21.198676062206864,1.4063658250465583,1.8412506183615658,7,10.95,0.727,8,5,6,3,5,0,6,0,16,8
8,Iowa St.,26.531808712033126,116.7,90.2,69.7,33,25.07,0.18272608900414067,0.913006600851222,9.13006600851222,26.215018084883766,5.127829752971493,24.1100218911762,1.3560803882743986,1.5698279570640679,8,11.45,0.538,9,7,8,2,2,0,5,0,18,9
9,Michigan St.,26.194718043997057,115.8,89.6,69.1,33,24.95,0.15558975549963217,0.916185694677486,9.16185694677486,25.924238290874065,7.683052001272159,27.60942971031241,1.2185258447494065,1.4332398187475552,9,11.91,0.769,14,4,4,2,5,0,4,0,19,6
10,Gonzaga,27.002686487561206,120.0,93.0,72.3,33,21.12,0.7353358109451507,0.8208322554163213,8.208322554163214,25.830908914925175,3.137102549485764,20.65418929816253,1.4944820635212015,1.7568529097750663,10,6.32,0.667,5,6,5,2,6,0,9,0,9,7
11,Arizona,25.399816857677166,120.5,95.1,71.8,33,27.16,-0.22002289279035425,0.9084592380639753,9.084592380639753,25.779778868919852,5.232140655347118,26.398216953795206,1.1969482714440478,1.6017330234150735,11,15.17,0.5,9,12,6,0,3,0,3,0,16,12
12,St. John's,24.742874768050314,110.7,86.0,72.3,35,21.74,0.3753593460062894,0.8871506414228681,8.871506414228682,24.13564641089402,8.323150936734272,33.7722886514768,1.0074083937596283,1.2442339312385442,12,10.04,0.75,8,3,11,1,6,0,6,0,21,4
13,Maryland,25.03300508919736,115.0,89.9,71.5,33,19.67,0.6703756361496698,0.8347174079262865,8.347174079262864,23.95032076882068,3.992935907840522,23.382942065746875,1.3753374063191013,1.6203276910026878,13,9.25,0.5,8,7,7,1,2,0,8,0,16,7
14,Wisconsin,23.892312604646605,117.4,93.5,69.5,35,22.36,0.19153907558082572,0.9119508878871126,9.119508878871127,23.57558336721003,6.514177118808707,25.079355181217906,1.2834105059278476,1.586470179334585,14,11.99,0.625,11,8,7,1,2,0,6,0,19,9
15,Purdue,22.410438885360165,121.2,98.8,66.9,34,27.3,-0.6111951393299795,0.8466036170415705,8.466036170415705,23.385222618126758,4.057844026088304,21.77604375694328,1.4577929036084134,1.67568767213321,15,14.37,0.385,7,10,11,1,2,0,3,0,17,11
16,BYU,23.273148629949247,120.9,97.6,69.4,32,23.55,-0.034606421256344166,0.929109513212173,9.29109513212173,23.335444202599213,4.354593474421932,18.79665020510521,1.5889376256273662,1.8542867504128244,16,11.37,0.462,8,7,6,2,3,0,6,0,15,9
17,Missouri,23.420271349373124,122.8,99.4,70.1,33,21.07,0.29378391867164044,0.8988329530292583,8.988329530292582,22.917155040387065,2.677418541882023,24.098851204278986,1.4162397349332119,1.4791560781817124,17,10.31,0.273,5,11,5,0,4,0,8,0,12,11
18,Saint Mary's,23.154949188475115,113.0,89.9,63.0,31,21.05,0.26311864855938927,0.9029395850366103,9.029395850366104,22.6801376390154,4.3890259465188635,24.02045423506334,1.3812223053678778,1.5394976375255371,18,5.52,0.769,5,4,5,1,8,0,8,0,8,5
19,Kentucky,22.8522748989502,120.1,97.3,72.5,33,21.73,0.14028436236877484,0.917931873030019,9.17931873030019,22.608038640267367,5.7660307740438945,22.44182982778849,1.4046536889662031,1.682564662106726,19,15.61,0.385,10,10,2,1,3,0,7,0,15,11
20,Connecticut,21.73522994829827,119.8,98.0,65.4,34,25.55,-0.4768462564627165,0.870988880861452,8.70988880861452,22.51318146977479,2.23292698069071,28.606875234638718,1.2513831253972196,1.288523559723199,20,9.26,0.5,6,7,8,3,3,1,6,0,15,10
21,Kansas,21.81772685446481,113.8,92.0,70.4,33,21.87,-0.0065341431918990445,0.9318333651078148,9.318333651078149,21.8292371992507,3.8386812618067445,20.452273449928455,1.5176610701671915,1.74549393939434,21,15.14,0.357,7,11,7,1,4,0,3,0,16,12
22,Illinois,21.451875457448338,118.5,97.0,73.1,33,21.59,-0.017265567818957717,0.9308037408838604,9.308037408838604,21.48226373560754,3.981660177749653,15.735513545593951,1.7578790417165224,2.0533772614096866,22,13.59,0.467,8,11,7,1,0,0,6,0,14,12
23,Clemson,22.5063000020383,116.1,93.6,65.7,33,17.24,0.6582875002547879,0.837203845234427,8.37203845234427,21.44061245634409,5.289246516640688,35.640599021253436,1.0575375730530743,1.0189029851337315,23,8.05,0.733,6,3,7,2,10,1,4,0,15,6
24,Louisville,21.044618927786118,115.1,94.1,70.6,34,20.72,0.04057736597326489,0.9285173265889803,9.285173265889803,20.97498439100452,4.76336771210088,21.79468706443076,1.403414128089672,1.7664432949527247,24,10.03,0.75,4,4,10,3,8,0,5,0,16,7
25,Michigan,20.422569254298665,112.9,92.5,71.4,34,22.77,-0.2934288432126668,0.8988813744714816,8.988813744714816,20.913408984769724,6.4381212325687684,26.016829493533685,1.3553923017163496,1.3758835766431767,25,13.71,0.6,12,8,5,1,5,0,3,0,18,9
26,UCLA,19.903698410781416,115.7,95.7,66.1,31,24.49,-0.5732876986523228,0.853843312273418,8.53843312273418,20.89412282336938,2.7826897009420257,22.643538146992192,1.3985535941714695,1.6685022097606683,26,11.0,0.545,9,7,5,2,1,1,6,0,13,10
27,Marquette,19.97195533899162,114.7,94.7,69.4,33,20.99,-0.1272555826260473,0.9193921440869902,9.193921440869902,20.193784036514437,4.032245553227419,26.660675040348657,1.251139245203436,1.4732559971679546,27,11.27,0.533,6,8,7,2,5,0,5,0,15,10
28,Oregon,19.176876016404137,113.6,94.4,69.1,33,23.55,-0.546640497949483,0.8587612536417777,8.587612536417776,20.079901991072695,5.043721051655446,25.3927285445091,1.3149353716653578,1.4986568499842112,28,12.49,0.643,8,7,9,2,4,0,3,0,16,9
29,UC San Diego,21.337590963260055,114.3,93.0,67.6,31,3.02,2.289698870407507,0.30798675738589265,3.0798675738589267,19.682192675203623,1.2060032700534506,23.063510316121665,1.4038399809114361,1.6103765691218268,29,-2.56,0.857,2,1,3,1,6,2,16,0,3,2
30,Texas A&M,19.444799074572288,112.4,92.9,67.9,32,19.59,-0.01815011567846403,0.9307182339012658,9.307182339012659,19.477515212837492,5.545888732306537,34.40859970752558,1.0976885424225844,1.0489801151503173,30,14.65,0.571,7,8,9,2,1,0,5,0,17,10
31,Creighton,18.728186756103483,115.3,96.6,68.0,33,21.56,-0.3539766554870645,0.8903220607322432,8.903220607322432,19.329865043923256,3.418714081074402,25.437515651102704,1.3557262797843233,1.4313807097287998,31,11.05,0.467,7,8,5,2,6,0,5,0,13,10
32,Baylor,19.578228551602123,117.2,97.6,66.2,32,18.06,0.18977856895026557,0.9121627010313761,9.12162701031376,19.241454071335326,1.4947632937746107,22.642547394392377,1.4775405311878962,1.5466037903819694,32,14.54,0.286,4,13,8,0,1,1,5,0,13,14
33,VCU,20.730808283357035,114.2,93.4,68.2,34,12.35,1.0476010354196295,0.7414653008313897,7.4146530083138975,19.23035419678481,1.3350888208375409,27.16479721573546,1.2398625885603445,1.4413529302875023,33,1.18,0.692,1,1,5,3,9,1,13,1,6,3
34,Arkansas,17.312937444193963,111.1,93.8,71.3,33,26.08,-1.0958828194757544,0.727341452657914,7.273414526579139,18.896276748755383,1.0291566183664358,25.159247792035377,1.333305279920421,1.4936724219491548,34,11.69,0.333,5,9,3,4,5,0,7,0,12,13
35,Mississippi St.,17.866370262002732,115.7,97.8,70.0,33,21.54,-0.45920371724965836,0.8739334651657931,8.73933465165793,18.635550698983305,2.6610070763710887,18.93023840322186,1.5275559772833598,1.940446924727483,35,12.41,0.538,6,10,6,2,3,0,6,0,14,12
36,North Carolina,18.621791364407002,116.1,97.5,72.0,35,18.43,0.023973920550875327,0.9301528158814492,9.301528158814492,18.581522939122575,1.3286468975020256,30.29855740924925,1.1895360072912253,1.2345309850258102,36,12.01,0.533,2,12,6,0,8,1,6,0,10,13
37,Mississippi,18.316905004560866,113.9,95.6,70.1,33,18.48,-0.020386874429891844,0.9305015756518173,9.305015756518173,18.352777854983728,4.391068637331113,26.42795763632668,1.285639510936649,1.44000674647941,37,13.54,0.385,6,10,7,1,2,0,7,0,14,11
