Conference,Team
B10,Michigan
B12,Arizona
ACC,Duke
WCC,Gonzaga
B12,BYU
BE,Connecticut
B12,Iowa St.
B10,Purdue
B10,Michigan St.
SEC,Alabama
B10,Illinois
SEC,Arkansas
B12,Houston
B12,Kansas
WCC,Saint Mary's
BE,St. John's
SEC,Tennessee
B12,Texas Tech
SEC,Florida
ACC,Louisville
B10,UCLA
SEC,Kentucky
B10,Nebraska
SEC,Vanderbilt
ACC,North Carolina
SEC,Georgia
B10,Indiana
ACC,Clemson
SEC,Auburn
B10,Iowa
BE,Creighton
B12,Baylor
ACC,Virginia
ACC,N.C. State
B10,Ohio St.
MWC,Utah St.
A10,Saint Louis
B10,Wisconsin
ACC,SMU
SEC,Texas
SEC,LSU
SEC,Missouri
B10,Washington
ACC,Wake Forest
BE,Seton Hall
ACC,Miami FL
B10,Northwestern
A10,VCU
BE,Butler
MWC,Boise St.
SEC,Mississippi
B10,USC
B10,Oregon
SEC,Texas A&M
BE,Villanova
B12,TCU
ACC,Notre Dame
B12,Colorado
MWC,San Diego St.
SEC,Oklahoma
B12,UCF
Slnd,McNeese
MWC,Colorado St.
ACC,California
ACC,Virginia Tech
B12,Oklahoma St.
BE,Providence
A10,Dayton
B12,West Virginia
B12,Arizona St.
MWC,Wyoming
B12,Kansas St.
MAC,Akron
SEC,Mississippi St.
Ivy,Yale
SEC,South Carolina
WAC,Utah Valley
A10,George Mason
ACC,Stanford
ACC,Syracuse
Amer,Tulsa
MVC,Northern Iowa
MVC,Murray St.
BW,UC San Diego
Amer,Memphis
MWC,New Mexico
Amer,South Florida
BE,Georgetown
MWC,Nevada
BE,DePaul
B12,Cincinnati
WCC,Santa Clara
B10,Penn St.
Amer,Wichita St.
MVC,Illinois St.
A10,George Washington
ACC,Pittsburgh
MVC,Belmont
B10,Minnesota
B10,Maryland
WCC,San Francisco
CAA,UNC Wilmington
CUSA,Liberty
CUSA,Sam Houston St.
BE,Xavier
B12,Utah
MAC,Miami OH
A10,Richmond
BW,UC Irvine
Amer,UAB
MWC,Grand Canyon
Sum,St. Thomas
SC,East Tennessee St.
Amer,Florida Atlantic
ACC,Boston College
A10,Davidson
BE,Marquette
WCC,Seattle
MVC,Bradley
Ivy,Columbia
CAA,William & Mary
ASun,Lipscomb
B10,Rutgers
A10,Rhode Island
CAA,Hofstra
MVC,Drake
ACC,Florida St.
MAC,Bowling Green
BSky,Northern Colorado
ACC,Georgia Tech
Amer,North Texas
A10,St. Bonaventure
WCC,Washington St.
WAC,Cal Baptist
MWC,UNLV
BW,Hawaii
SC,Furman
BSth,High Point
SB,Marshall
SB,Troy
MVC,Southern Illinois
CUSA,Kennesaw St.
BSth,Winthrop
BSky,Montana St.
BSky,Idaho St.
MAC,Kent St.
Horz,Wright St.
BW,UC Santa Barbara
Ivy,Cornell
WCC,Pacific
CUSA,New Mexico St.
Sum,South Dakota St.
Slnd,Stephen F. Austin
SB,Southern Mississippi
CUSA,Middle Tennessee
Horz,Oakland
WCC,Loyola Marymount
MAAC,Quinnipiac
Sum,North Dakota St.
CAA,Towson
PL,Colgate
SB,Arkansas St.
Horz,Robert Morris
Amer,Temple
CUSA,Western Kentucky
WCC,Oregon St.
BSky,Idaho
ASun,Austin Peay
MAC,Toledo
CAA,Charleston
Slnd,UT Rio Grande Valley
ASun,Florida Gulf Coast
A10,Duquesne
SC,Mercer
MAAC,Iona
BSky,Montana
AE,Vermont
Horz,Youngstown St.
MAAC,Siena
Amer,Tulane
A10,Saint Joseph's
A10,Fordham
WAC,UT Arlington
MAC,Massachusetts
BSky,Portland St.
SB,South Alabama
CAA,Elon
CUSA,Louisiana Tech
Slnd,Nicholls
Horz,Milwaukee
MAC,Ohio
Ivy,Harvard
BW,CSUN
Ivy,Dartmouth
MAAC,Marist
BSky,Weber St.
CAA,Northeastern
ASun,Queens
Amer,Rice
Ivy,Brown
MWC,Fresno St.
Slnd,Texas A&M Corpus Chris
Sum,Nebraska Omaha
OVC,Southeast Missouri
SB,Appalachian St.
SB,Old Dominion
MAC,Buffalo
Amer,Charlotte
BSth,UNC Asheville
Horz,Northern Kentucky
BW,UC Davis
SB,James Madison
BSth,Radford
Horz,Purdue Fort Wayne
Slnd,Incarnate Word
NEC,LIU
BW,Cal Poly
MVC,Illinois Chicago
Slnd,Lamar
SC,Chattanooga
MWC,San Jose St.
ASun,North Alabama
ASun,Eastern Kentucky
MVC,Indiana St.
OVC,Lindenwood
SC,Wofford
WCC,San Diego
WAC,Tarleton St.
SC,Samford
CUSA,FIU
MVC,Valparaiso
WAC,Utah Tech
CAA,Monmouth
PL,American
OVC,Tennessee Martin
WAC,Abilene Christian
CUSA,Delaware
BSky,Northern Arizona
Amer,East Carolina
BW,Cal St. Fullerton
CAA,Hampton
BSth,USC Upstate
BW,UC Riverside
NEC,Central Connecticut
MEAC,Norfolk St.
CUSA,UTEP
PL,Navy
SWAC,Southern
OVC,Tennessee Tech
SB,Coastal Carolina
Ivy,Penn
