Rank,Team,Current_AdjEM,AdjO,AdjD,AdjT,Games,Preseason_AdjEM,SurpriseZ,CollapseFactor,FinalPreseasonWeight,Blended_AdjEM,RQ,RQ_Win_Avg,RQ_Loss_Avg,RQ_Wins_N,RQ_Losses_N,Consistency,Volatility_z,Swing_z,Rank,SOS,Road_Pct,Q1_W,Q1_L,Q2_W,Q2_L,Q3_W,Q3_L,Q4_W,Q4_L,T100_W,T100_L,StrengthAdjust,TopPerf,BadBeat,StrengthAdjust_z,StrengthAdjust_n,Venue_AdjEM_Home,Venue_AdjEM_AwayNeutral,Venue_AdjEM_AN_minus_Home,Venue_AdjEM_Home_N,Venue_AdjEM_AwayNeutral_N
1,Arizona,37.49257450941545,125.1,87.6,74.0,21,27.16,1.7220957515692412,0.5104625657099636,0.0,37.49257450941545,7.910210831267323,0.37667670625082494,0.0,21,0,35.3763547404901,1.015763489526698,1.1019729158896294,1,9.29,1.0,9,0,3,0,2,0,7,0,13,0,4.132399438958367,1.5162821234941282,-2.616117315464239,0.37567267626894246,21,0.3493150388560941,-0.2586913653774829,-0.5669105173093306,12,9
2,Michigan,36.71713652699124,122.9,86.2,75.8,21,22.77,2.32452275449854,0.29696672423019993,0.0,36.71713652699124,8.169118356098245,0.43989661160402704,-0.6288138759822957,20,1,22.377482942640995,1.5761159580527093,1.4483761241524975,2,13.75,1.0,7,0,7,1,5,0,1,0,13,1,1.0793850713433082,4.2175910359376205,3.138205964594312,0.09812591557666439,21,4.178680268614066,0.8763701502252103,-3.1334745519802065,11,10
3,Duke,36.318007646857126,124.3,88.0,69.7,20,20.84,2.5796679411428545,0.22365333508694046,0.0,36.318007646857126,7.546867190768102,0.41002408793742673,-0.24359048004300357,19,1,29.152587464553203,1.279198437626834,1.2037679110485762,3,10.83,0.9,9,1,3,0,1,0,6,0,11,1,-7.709827054452065,1.459148015594077,9.168975070046143,-0.7008933685865514,20,2.235627649437931,1.830064977982117,-0.4055626714558142,10,10
4,Nebraska,31.535496077446638,120.8,89.3,68.9,21,14.22,2.885916012907773,0.1539599729112687,0.0,31.535496077446638,6.98458865709242,0.3514664842799834,-0.044741028507248565,20,1,28.930860409542653,1.2513441761846946,1.26046764909083,4,9.15,0.889,7,1,5,0,2,0,6,0,12,1,9.744992753907246,2.1220596633596656,-7.62293309054758,0.8859084321733859,21,-0.8296810616173768,-0.1661968535242081,0.5658746714323009,12,9
5,Houston,30.301137427393,120.5,90.2,67.3,20,27.43,0.47852290456550034,0.870706016585135,0.0,30.301137427393,5.182272234493807,0.31069388477012566,-0.20510884568422966,18,2,28.715362286994143,1.2160656525658857,1.332273611140583,5,7.59,0.8,6,2,3,0,4,0,5,0,10,2,-2.1900172338466226,0.7497446829959677,2.9397619168425906,-0.19909247580423844,20,3.9372541405688484,-1.7356336463422084,-5.6728877869110566,10,10
6,Florida,30.181301784499027,121.4,91.2,72.2,21,23.9,1.0468836307498381,0.7416715310274693,0.0,30.181301784499027,3.0541282903571165,0.3235346937031799,-0.29981535253176367,15,6,25.627072647655204,1.3110752656761142,1.4805412898470534,6,11.72,0.545,4,5,5,1,1,0,5,0,8,6,-1.5492998009492143,0.3066997484840422,1.8559995494332564,-0.14084543644992856,21,0.41590557177218657,0.6886891135473066,0.24495771900553182,10,11
7,Illinois,30.145906451499854,126.7,96.6,68.0,21,21.59,1.425984408583309,0.6191691975684652,0.0,30.145906451499854,5.401274873074243,0.34033741392770445,-0.2415995258748113,18,3,26.371792813400404,1.2725812006752597,1.4668321419644665,7,10.35,0.778,6,3,3,0,3,0,6,0,9,3,-7.007502882137475,1.1153672692185392,8.122870151356015,-0.6370457165579522,21,2.4070960580234075,2.0480807456801937,-0.07582754081104846,12,9
8,Michigan St.,29.686565107028073,118.4,88.8,68.0,22,24.95,0.7894275178380123,0.8085875944297463,0.0,29.686565107028073,5.377947124549797,0.30484679864714453,-0.1380473499153161,19,3,27.19363550916208,1.268456397877571,1.3923119370689607,8,10.7,0.889,5,3,4,0,3,0,7,0,8,3,6.038011886620418,3.4061632095036,-2.6318486771168184,0.5489101715109471,22,1.5294462330028626,0.546658744177316,-0.7613292107436843,13,9
9,Purdue,29.630837082819752,126.0,96.3,67.6,21,27.3,0.3884728471366253,0.8851663190231487,0.0,29.630837082819752,4.9620387460687,0.3575928685532164,-0.27926000483399477,17,4,21.45705246452001,1.4950964967284648,1.656064133897863,9,12.51,0.778,6,4,4,0,4,0,3,0,10,4,-5.089458522911525,1.1464316534111354,6.235890176322661,-0.46267804753741143,21,0.12402900269505936,2.9615566406421583,2.8521192853229884,12,9
10,Gonzaga,29.417489834251,120.2,90.7,72.7,22,21.12,1.3829149723751666,0.6342811731614341,0.0,29.417489834251,5.177186557094952,0.2506954200888268,-0.08741726477040855,21,1,17.386754076914258,1.6276575769853325,2.0003455753488835,10,4.66,0.909,3,1,6,0,5,0,7,0,7,1,-8.105896213416703,0.742640819486693,8.848537032903396,-0.7368996557651548,22,4.032943447127655,1.7929487740697387,-2.2399946730579163,11,11
