date,team,opponent,location_value,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,possessions,raw_off_eff
2021-11-09,Utah Tech,Gonzaga,-1,200,23,65,0.354,8,22,0.364,9,21,0.429,13,19,32,12,5,1,20,22,63,81.97,76.85
2021-11-09,Gonzaga,Utah Tech,1,200,37,68,0.544,6,21,0.286,17,24,0.708,14,30,44,23,10,9,15,18,97,80.4,120.65
2021-11-09,Cal St. Bakersfield,UCLA,-1,200,24,64,0.375,7,17,0.412,3,8,0.375,5,26,31,11,8,2,13,21,58,75.8,76.52
2021-11-09,UCLA,Cal St. Bakersfield,1,200,31,62,0.5,13,27,0.481,20,26,0.769,5,34,39,13,7,8,11,12,95,80.35,118.23
2021-11-09,Kansas,Michigan St.,-1,200,31,64,0.484,6,17,0.353,19,24,0.792,7,22,29,13,8,4,8,20,87,76.4,113.87
2021-11-09,Michigan St.,Kansas,1,200,29,63,0.46,7,20,0.35,9,16,0.563,8,27,35,12,5,3,16,18,74,78.6,94.15
2021-11-09,Mount St. Mary's,Villanova,-1,200,21,47,0.447,3,12,0.25,6,8,0.75,7,18,25,16,2,2,18,15,51,61.8,82.52
2021-11-09,Villanova,Mount St. Mary's,1,200,31,56,0.554,16,30,0.533,13,14,0.929,5,18,23,21,13,2,5,15,91,62.65,145.25
2021-11-09,Houston Christian,Texas,-1,200,16,49,0.327,6,17,0.353,10,22,0.455,13,14,27,6,8,0,14,21,48,60.45,79.4
2021-11-09,Texas,Houston Christian,1,200,32,50,0.64,13,22,0.591,15,22,0.682,7,24,31,21,10,5,11,19,92,64.45,142.75
2021-11-09,Bellarmine,Purdue,-1,200,24,59,0.407,12,35,0.343,7,8,0.875,7,12,19,15,5,1,10,20,67,65.8,101.82
2021-11-09,Purdue,Bellarmine,1,200,28,56,0.5,16,36,0.444,24,29,0.828,13,27,40,21,7,3,12,13,96,68.78,139.59
2021-11-09,Kentucky,Duke,-1,200,29,77,0.377,7,18,0.389,6,7,0.857,16,22,38,15,4,3,13,20,71,77.33,91.82
2021-11-09,Duke,Kentucky,1,200,31,60,0.517,1,12,0.083,16,23,0.696,6,25,31,8,9,5,9,15,79,73.92,106.87
2021-11-09,Jackson St.,Illinois,-1,200,19,51,0.373,7,16,0.438,2,5,0.4,5,19,24,7,11,4,19,22,47,67.38,69.76
2021-11-09,Illinois,Jackson St.,1,200,24,55,0.436,9,21,0.429,14,21,0.667,15,28,43,16,12,4,18,14,71,67.97,104.45
2021-11-09,Tennessee Tech,Memphis,-1,200,24,62,0.387,6,22,0.273,11,14,0.786,7,15,22,14,10,2,14,13,65,75.65,85.92
2021-11-09,Memphis,Tennessee Tech,1,200,35,59,0.593,13,26,0.5,6,11,0.545,10,20,30,21,10,11,17,16,89,71.22,124.96
2021-11-09,Texas Southern,Oregon,-1,200,24,52,0.462,5,16,0.313,13,17,0.765,11,19,30,7,4,2,16,22,66,65.08,101.42
2021-11-09,Oregon,Texas Southern,1,200,26,65,0.4,12,36,0.333,19,21,0.905,16,18,34,15,8,3,8,18,83,66.97,123.93
2021-11-09,Louisiana Tech,Alabama,-1,200,26,67,0.388,6,26,0.231,6,19,0.316,14,20,34,11,3,1,10,18,64,72.03,88.86
