Rank,Team,Current_AdjEM,AdjO,AdjD,AdjT,Games,Preseason_AdjEM,SurpriseZ,CollapseFactor,FinalPreseasonWeight,Blended_AdjEM,WAB,Consistency,Volatility_z,Swing_z,Rank,SOS,Road_Pct,Q1_W,Q1_L,Q2_W,Q2_L,Q3_W,Q3_L,Q4_W,Q4_L,T100_W,T100_L
1,Gonzaga,30.628593082012088,120.4,89.8,76.4,26,21.12,1.188574135251511,0.6989154800985629,6.989154800985629,28.61408166483028,7.915145486954753,32.0110791932438,1.0408071774217342,1.336313100757535,1,4.69,1.0,8,0,5,0,6,0,7,0,11,0
2,Houston,28.422396101238306,117.0,88.6,66.8,26,27.43,0.12404951265478825,0.9197478298904245,9.197478298904244,28.163072364249437,2.7749906858619866,19.46757061055157,1.5062508386122926,1.8997246891189787,2,2.88,0.625,2,0,5,1,13,2,3,0,7,0
3,Illinois,28.56047766219197,116.2,87.7,72.2,29,21.59,0.8713097077739964,0.7888546689672832,7.888546689672832,27.069854056168566,8.450261024206947,23.852618199501315,1.3333407525700778,1.6380632292652144,3,12.86,0.692,12,6,7,0,2,0,2,0,21,6
4,Michigan,27.745157642525413,115.8,88.1,68.2,24,22.77,0.6218947053156767,0.844507739487216,8.445077394872161,26.450181802848203,6.5542850936860635,20.72672600030554,1.4778807615634757,1.775115690448794,4,12.78,0.75,9,3,5,1,4,0,2,0,16,4
5,Connecticut,22.139453774864492,111.9,89.8,68.5,22,25.55,-0.42631827814193857,0.8792686425326596,8.792686425326595,23.1133169540132,2.8724402215571665,33.627772776362654,1.1052558005173925,1.0953414586759347,5,10.88,0.636,5,5,5,2,4,0,1,0,10,7
6,Iowa,25.115354910473926,119.0,93.9,71.5,29,13.15,1.4956693638092406,0.5942338581898802,5.9423385818988015,23.080511422137555,5.278298665372752,23.165443464439615,1.3856924263054498,1.6282946394593738,6,11.45,0.5,10,6,4,2,2,0,5,0,16,8
7,Alabama,22.517520841876816,108.0,85.4,76.0,30,24.81,-0.2865598947653978,0.8998140487599072,8.998140487599072,23.04647040900412,5.786137892410295,21.74840888085557,1.4839835445303406,1.6383329656232593,7,11.89,0.7,8,3,10,1,6,2,0,0,20,6
8,Ohio St.,22.906409200132828,118.4,95.5,69.1,30,18.15,0.5945511500166036,0.8498178670122123,8.498178670122122,21.856468226111858,6.3489226440937365,24.933900754358454,1.2851581194042776,1.5997650536491324,8,14.17,0.643,8,8,7,1,3,0,3,0,17,9
9,Baylor,23.086504531581724,117.5,94.4,70.4,24,18.06,0.6283130664477157,0.8432393071664238,8.432393071664238,21.779617867586825,6.458120276017588,26.839094571988447,1.3750385075758074,1.2754360271998637,9,6.2,0.889,7,1,4,1,6,0,5,0,10,2
10,Purdue,20.12434058589585,111.1,91.0,67.8,27,27.3,-0.8969574267630187,0.7823755265759472,7.823755265759472,21.736475828001524,3.869980167023078,27.16192705394558,1.2163376944961635,1.4822865165501038,10,12.57,0.462,7,7,6,2,3,0,2,0,15,8
