Team,MakeField_Prob,AtLarge_Prob,AutoBid_Prob,NoAQ_Prob,AtLargeIfNoAQ_Prob,Selection68_Prob,Selection68_NoAQ_Prob
Arizona,1.0,0.639,0.361,0.639,1.0,1.0,0.639
Arkansas,1.0,0.961,0.039,0.961,1.0,1.0,0.961
BYU,1.0,0.958,0.042,0.958,1.0,1.0,0.958
Connecticut,1.0,0.612,0.388,0.612,1.0,1.0,0.612
Duke,1.0,0.322,0.678,0.322,1.0,1.0,0.322
Gonzaga,1.0,0.162,0.838,0.162,1.0,1.0,0.162
Houston,1.0,0.622,0.378,0.622,1.0,1.0,0.622
Illinois,1.0,0.722,0.278,0.722,1.0,1.0,0.722
Iowa St.,1.0,0.875,0.125,0.875,1.0,1.0,0.875
Kansas,1.0,0.958,0.042,0.958,1.0,1.0,0.958
Michigan,1.0,0.826,0.174,0.826,1.0,1.0,0.826
Michigan St.,1.0,0.981,0.019,0.981,1.0,1.0,0.981
Nebraska,1.0,0.664,0.336,0.664,1.0,1.0,0.664
Purdue,1.0,0.946,0.054,0.946,1.0,1.0,0.946
Saint Louis,1.0,0.195,0.805,0.195,1.0,1.0,0.195
Texas Tech,1.0,0.961,0.039,0.961,1.0,1.0,0.961
Vanderbilt,1.0,0.754,0.246,0.754,1.0,1.0,0.754
Virginia,1.0,0.841,0.159,0.841,1.0,1.0,0.841
Alabama,0.999,0.856,0.143,0.857,0.9988331388564761,1.0,0.857
Florida,0.999,0.652,0.347,0.653,0.998468606431853,1.0,0.653
St. John's,0.999,0.656,0.343,0.657,0.9984779299847792,1.0,0.657
Clemson,0.997,0.99,0.007,0.993,0.9969788519637462,1.0,0.993
North Carolina,0.997,0.971,0.026,0.974,0.9969199178644764,1.0,0.974
Saint Mary's,0.995,0.877,0.118,0.882,0.9943310657596371,1.0,0.882
Louisville,0.994,0.981,0.013,0.987,0.993920972644377,1.0,0.987
Tennessee,0.993,0.825,0.168,0.832,0.9915865384615384,1.0,0.832
Iowa,0.982,0.864,0.118,0.882,0.9795918367346939,1.0,0.882
SMU,0.98,0.913,0.067,0.933,0.9785637727759914,1.0,0.933
Villanova,0.975,0.751,0.224,0.776,0.9677835051546392,1.0,0.776
N.C. State,0.963,0.954,0.009,0.991,0.9626639757820383,1.0,0.991
Auburn,0.957,0.933,0.024,0.976,0.9559426229508197,1.0,0.976
Utah St.,0.943,0.608,0.335,0.665,0.9142857142857143,0.998,0.663
New Mexico,0.914,0.682,0.232,0.768,0.8880208333333334,1.0,0.768
High Point,0.903,0.0,0.903,0.097,0.0,0.024,0.0
Yale,0.893,0.0,0.893,0.107,0.0,0.893,0.048
Georgia,0.865,0.863,0.002,0.998,0.8647294589178357,0.999,0.997
Kentucky,0.865,0.862,0.003,0.997,0.8645937813440321,0.997,0.994
Indiana,0.838,0.837,0.001,0.999,0.8378378378378378,0.999,0.998
Texas A&M,0.836,0.833,0.003,0.997,0.835506519558676,1.0,0.997
UCF,0.737,0.737,0.0,1.0,0.737,0.996,0.996
Vermont,0.733,0.0,0.733,0.267,0.0,0.0,0.0
Ohio St.,0.68,0.68,0.0,1.0,0.68,0.992,0.992
Wisconsin,0.675,0.672,0.003,0.997,0.6740220661985958,0.991,0.988
Akron,0.657,0.002,0.655,0.345,0.005797101449275362,0.875,0.251
McNeese,0.648,0.008,0.64,0.36,0.022222222222222223,0.922,0.288
UCLA,0.634,0.633,0.001,0.999,0.6336336336336337,0.992,0.991
Tennessee Martin,0.628,0.0,0.628,0.372,0.0,0.0,0.0
Miami FL,0.624,0.62,0.004,0.996,0.6224899598393574,0.985,0.981
Hawaii,0.592,0.0,0.592,0.408,0.0,0.096,0.004
LIU,0.572,0.0,0.572,0.428,0.0,0.0,0.0
St. Thomas,0.56,0.0,0.56,0.44,0.0,0.005,0.0
San Diego St.,0.559,0.418,0.141,0.859,0.48661233993015135,0.985,0.844
Texas,0.555,0.531,0.024,0.976,0.5440573770491803,0.973,0.949
East Tennessee St.,0.537,0.0,0.537,0.463,0.0,0.0,0.0
Navy,0.523,0.0,0.523,0.477,0.0,0.0,0.0
Howard,0.519,0.0,0.519,0.481,0.0,0.0,0.0
Santa Clara,0.51,0.473,0.037,0.963,0.49117341640706125,0.987,0.95
Virginia Tech,0.482,0.482,0.0,1.0,0.482,0.99,0.99
Miami OH,0.476,0.159,0.317,0.683,0.232796486090776,0.975,0.658
TCU,0.458,0.445,0.013,0.987,0.4508611955420466,0.957,0.944
Liberty,0.458,0.001,0.457,0.543,0.001841620626151013,0.688,0.252
Belmont,0.452,0.02,0.432,0.568,0.035211267605633804,0.929,0.497
Utah Valley,0.444,0.0,0.444,0.556,0.0,0.002,0.0
USC,0.424,0.424,0.0,1.0,0.424,0.968,0.968
Tulsa,0.419,0.017,0.402,0.598,0.028428093645484948,0.903,0.501
Oakland,0.418,0.0,0.418,0.582,0.0,0.0,0.0
Troy,0.411,0.0,0.411,0.589,0.0,0.0,0.0
Mercer,0.408,0.0,0.408,0.592,0.0,0.0,0.0
California,0.405,0.368,0.037,0.963,0.3821391484942887,0.939,0.902
Maryland Eastern Shore,0.398,0.0,0.398,0.602,0.0,0.0,0.0
Portland St.,0.388,0.0,0.388,0.612,0.0,0.003,0.0
Quinnipiac,0.382,0.0,0.382,0.618,0.0,0.0,0.0
Wright St.,0.372,0.0,0.372,0.628,0.0,0.0,0.0
UC Irvine,0.355,0.0,0.355,0.645,0.0,0.0,0.0
Bethune Cookman,0.354,0.0,0.354,0.646,0.0,0.0,0.0
South Dakota St.,0.353,0.0,0.353,0.647,0.0,0.0,0.0
South Florida,0.341,0.0,0.341,0.659,0.0,0.505,0.2
Arkansas St.,0.331,0.0,0.331,0.669,0.0,0.0,0.0
William & Mary,0.32,0.0,0.32,0.68,0.0,0.002,0.0
Marist,0.317,0.0,0.317,0.683,0.0,0.0,0.0
UNC Wilmington,0.316,0.0,0.316,0.684,0.0,0.042,0.003
Cal Baptist,0.306,0.0,0.306,0.694,0.0,0.002,0.0
Stephen F. Austin,0.303,0.0,0.303,0.697,0.0,0.3,0.1
VCU,0.296,0.221,0.075,0.925,0.23891891891891892,0.955,0.88
Austin Peay,0.28,0.0,0.28,0.72,0.0,0.0,0.0
Illinois St.,0.277,0.0,0.277,0.723,0.0,0.092,0.011
Sam Houston St.,0.276,0.0,0.276,0.724,0.0,0.001,0.0
American,0.268,0.0,0.268,0.732,0.0,0.0,0.0
Hofstra,0.252,0.0,0.252,0.748,0.0,0.0,0.0
Seton Hall,0.248,0.228,0.02,0.98,0.23265306122448978,0.908,0.888
Montana St.,0.243,0.0,0.243,0.757,0.0,0.0,0.0
Lipscomb,0.242,0.0,0.242,0.758,0.0,0.0,0.0
Le Moyne,0.219,0.0,0.219,0.781,0.0,0.0,0.0
UT Arlington,0.212,0.0,0.212,0.788,0.0,0.0,0.0
Southern,0.211,0.0,0.211,0.789,0.0,0.0,0.0
Butler,0.197,0.18,0.017,0.983,0.18311291963377416,0.825,0.808
Central Arkansas,0.191,0.0,0.191,0.809,0.0,0.0,0.0
Grambling St.,0.186,0.0,0.186,0.814,0.0,0.0,0.0
Lindenwood,0.183,0.0,0.183,0.817,0.0,0.0,0.0
Marshall,0.179,0.0,0.179,0.821,0.0,0.0,0.0
Colgate,0.178,0.0,0.178,0.822,0.0,0.0,0.0
Washington,0.177,0.162,0.015,0.985,0.16446700507614212,0.825,0.81
Grand Canyon,0.177,0.0,0.177,0.823,0.0,0.476,0.311
LSU,0.176,0.175,0.001,0.999,0.17517517517517517,0.834,0.833
Queens,0.171,0.0,0.171,0.829,0.0,0.0,0.0
Wichita St.,0.165,0.0,0.165,0.835,0.0,0.052,0.011
Montana,0.141,0.0,0.141,0.859,0.0,0.0,0.0
UMBC,0.141,0.0,0.141,0.859,0.0,0.0,0.0
Murray St.,0.136,0.001,0.135,0.865,0.0011560693641618498,0.397,0.266
Merrimack,0.123,0.0,0.123,0.877,0.0,0.0,0.0
Central Connecticut,0.122,0.0,0.122,0.878,0.0,0.0,0.0
Siena,0.12,0.0,0.12,0.88,0.0,0.0,0.0
Boise St.,0.119,0.102,0.017,0.983,0.10376398779247202,0.812,0.795
Nevada,0.116,0.07,0.046,0.954,0.07337526205450734,0.801,0.755
Middle Tennessee,0.108,0.0,0.108,0.892,0.0,0.001,0.0
Kennesaw St.,0.106,0.0,0.106,0.894,0.0,0.0,0.0
Arkansas Pine Bluff,0.104,0.0,0.104,0.896,0.0,0.0,0.0
Idaho,0.09,0.0,0.09,0.91,0.0,0.0,0.0
George Washington,0.086,0.0,0.086,0.914,0.0,0.122,0.074
Northern Kentucky,0.086,0.0,0.086,0.914,0.0,0.0,0.0
North Dakota St.,0.083,0.0,0.083,0.917,0.0,0.0,0.0
Florida Gulf Coast,0.081,0.0,0.081,0.919,0.0,0.0,0.0
George Mason,0.076,0.051,0.025,0.975,0.052307692307692305,0.667,0.642
Northern Iowa,0.076,0.0,0.076,0.924,0.0,0.001,0.0
West Virginia,0.074,0.074,0.0,1.0,0.074,0.674,0.674
New Hampshire,0.067,0.0,0.067,0.933,0.0,0.0,0.0
Winthrop,0.064,0.0,0.064,0.936,0.0,0.0,0.0
Mercyhurst,0.056,0.0,0.056,0.944,0.0,0.0,0.0
Green Bay,0.051,0.0,0.051,0.949,0.0,0.0,0.0
Little Rock,0.05,0.0,0.05,0.95,0.0,0.0,0.0
Northern Colorado,0.05,0.0,0.05,0.95,0.0,0.0,0.0
Norfolk St.,0.049,0.0,0.049,0.951,0.0,0.0,0.0
South Alabama,0.049,0.0,0.049,0.951,0.0,0.0,0.0
Alabama A&M,0.048,0.0,0.048,0.952,0.0,0.0,0.0
Drexel,0.048,0.0,0.048,0.952,0.0,0.0,0.0
Texas Southern,0.048,0.0,0.048,0.952,0.0,0.0,0.0
Baylor,0.047,0.047,0.0,1.0,0.047,0.545,0.545
SIUE,0.046,0.0,0.046,0.954,0.0,0.0,0.0
Stanford,0.045,0.045,0.0,1.0,0.045,0.496,0.496
Colorado St.,0.045,0.0,0.045,0.955,0.0,0.06,0.036
Robert Morris,0.045,0.0,0.045,0.955,0.0,0.0,0.0
Columbia,0.042,0.0,0.042,0.958,0.0,0.0,0.0
Idaho St.,0.042,0.0,0.042,0.958,0.0,0.0,0.0
Morehead St.,0.042,0.0,0.042,0.958,0.0,0.0,0.0
Iona,0.039,0.0,0.039,0.961,0.0,0.0,0.0
Florida Atlantic,0.038,0.0,0.038,0.962,0.0,0.065,0.034
Albany,0.038,0.0,0.038,0.962,0.0,0.0,0.0
Valparaiso,0.037,0.0,0.037,0.963,0.0,0.0,0.0
Furman,0.036,0.0,0.036,0.964,0.0,0.0,0.0
Weber St.,0.034,0.0,0.034,0.966,0.0,0.0,0.0
Monmouth,0.032,0.0,0.032,0.968,0.0,0.0,0.0
UT Rio Grande Valley,0.031,0.0,0.031,0.969,0.0,0.0,0.0
Penn,0.028,0.0,0.028,0.972,0.0,0.0,0.0
Utah Tech,0.028,0.0,0.028,0.972,0.0,0.0,0.0
Southern Illinois,0.027,0.0,0.027,0.973,0.0,0.0,0.0
UAB,0.027,0.0,0.027,0.973,0.0,0.0,0.0
Cornell,0.026,0.0,0.026,0.974,0.0,0.0,0.0
UNC Asheville,0.026,0.0,0.026,0.974,0.0,0.0,0.0
North Carolina Central,0.025,0.0,0.025,0.975,0.0,0.0,0.0
UC Santa Barbara,0.025,0.0,0.025,0.975,0.0,0.0,0.0
Tennessee St.,0.024,0.0,0.024,0.976,0.0,0.0,0.0
Bowling Green,0.022,0.0,0.022,0.978,0.0,0.0,0.0
Boston University,0.021,0.0,0.021,0.979,0.0,0.0,0.0
Charleston,0.021,0.0,0.021,0.979,0.0,0.0,0.0
FIU,0.021,0.0,0.021,0.979,0.0,0.0,0.0
Memphis,0.019,0.0,0.019,0.981,0.0,0.001,0.0
Wagner,0.018,0.0,0.018,0.982,0.0,0.0,0.0
Florida A&M,0.016,0.0,0.016,0.984,0.0,0.0,0.0
Oklahoma St.,0.015,0.015,0.0,1.0,0.015,0.413,0.413
UC Davis,0.015,0.0,0.015,0.985,0.0,0.0,0.0
Bellarmine,0.014,0.0,0.014,0.986,0.0,0.0,0.0
Purdue Fort Wayne,0.014,0.0,0.014,0.986,0.0,0.0,0.0
Southeast Missouri,0.014,0.0,0.014,0.986,0.0,0.0,0.0
Missouri,0.013,0.013,0.0,1.0,0.013,0.405,0.405
Creighton,0.012,0.011,0.001,0.999,0.011011011011011011,0.413,0.412
Eastern Kentucky,0.012,0.0,0.012,0.988,0.0,0.0,0.0
Wofford,0.012,0.0,0.012,0.988,0.0,0.0,0.0
Eastern Illinois,0.011,0.0,0.011,0.989,0.0,0.0,0.0
Jacksonville St.,0.011,0.0,0.011,0.989,0.0,0.0,0.0
Maine,0.011,0.0,0.011,0.989,0.0,0.0,0.0
Texas A&M Corpus Chris,0.011,0.0,0.011,0.989,0.0,0.0,0.0
Eastern Washington,0.01,0.0,0.01,0.99,0.0,0.0,0.0
Illinois Chicago,0.01,0.0,0.01,0.99,0.0,0.0,0.0
James Madison,0.01,0.0,0.01,0.99,0.0,0.0,0.0
Missouri St.,0.01,0.0,0.01,0.99,0.0,0.0,0.0
New Haven,0.01,0.0,0.01,0.99,0.0,0.0,0.0
Fairfield,0.009,0.0,0.009,0.991,0.0,0.0,0.0
Harvard,0.009,0.0,0.009,0.991,0.0,0.0,0.0
Jackson St.,0.009,0.0,0.009,0.991,0.0,0.0,0.0
Lamar,0.009,0.0,0.009,0.991,0.0,0.0,0.0
New Mexico St.,0.009,0.0,0.009,0.991,0.0,0.0,0.0
Prairie View A&M,0.009,0.0,0.009,0.991,0.0,0.0,0.0
Alabama St.,0.008,0.0,0.008,0.992,0.0,0.0,0.0
Milwaukee,0.008,0.0,0.008,0.992,0.0,0.0,0.0
Tarleton St.,0.008,0.0,0.008,0.992,0.0,0.0,0.0
Alcorn St.,0.007,0.0,0.007,0.993,0.0,0.0,0.0
Morgan St.,0.007,0.0,0.007,0.993,0.0,0.0,0.0
Providence,0.006,0.0,0.006,0.994,0.0,0.018,0.016
Wyoming,0.006,0.0,0.006,0.994,0.0,0.004,0.004
Drake,0.006,0.0,0.006,0.994,0.0,0.0,0.0
Mount St. Mary's,0.006,0.0,0.006,0.994,0.0,0.0,0.0
Stetson,0.006,0.0,0.006,0.994,0.0,0.0,0.0
Temple,0.006,0.0,0.006,0.994,0.0,0.0,0.0
Towson,0.006,0.0,0.006,0.994,0.0,0.0,0.0
Cal St. Fullerton,0.005,0.0,0.005,0.995,0.0,0.0,0.0
Coastal Carolina,0.005,0.0,0.005,0.995,0.0,0.0,0.0
Georgia St.,0.005,0.0,0.005,0.995,0.0,0.0,0.0
UMass Lowell,0.005,0.0,0.005,0.995,0.0,0.0,0.0
Youngstown St.,0.005,0.0,0.005,0.995,0.0,0.0,0.0
Appalachian St.,0.004,0.0,0.004,0.996,0.0,0.0,0.0
Buffalo,0.004,0.0,0.004,0.996,0.0,0.0,0.0
CSUN,0.004,0.0,0.004,0.996,0.0,0.0,0.0
Chattanooga,0.004,0.0,0.004,0.996,0.0,0.0,0.0
Holy Cross,0.004,0.0,0.004,0.996,0.0,0.0,0.0
Long Beach St.,0.004,0.0,0.004,0.996,0.0,0.0,0.0
NJIT,0.004,0.0,0.004,0.996,0.0,0.0,0.0
New Orleans,0.004,0.0,0.004,0.996,0.0,0.0,0.0
Old Dominion,0.004,0.0,0.004,0.996,0.0,0.0,0.0
Wake Forest,0.003,0.003,0.0,1.0,0.003,0.193,0.193
Rhode Island,0.003,0.0,0.003,0.997,0.0,0.002,0.001
Army,0.003,0.0,0.003,0.997,0.0,0.0,0.0
Elon,0.003,0.0,0.003,0.997,0.0,0.0,0.0
Fairleigh Dickinson,0.003,0.0,0.003,0.997,0.0,0.0,0.0
Jacksonville,0.003,0.0,0.003,0.997,0.0,0.0,0.0
Longwood,0.003,0.0,0.003,0.997,0.0,0.0,0.0
Saint Joseph's,0.003,0.0,0.003,0.997,0.0,0.0,0.0
Seattle,0.003,0.0,0.003,0.997,0.0,0.0,0.0
Mississippi,0.002,0.002,0.0,1.0,0.002,0.083,0.083
San Francisco,0.002,0.0,0.002,0.998,0.0,0.002,0.0
Pacific,0.002,0.0,0.002,0.998,0.0,0.001,0.0
Abilene Christian,0.002,0.0,0.002,0.998,0.0,0.0,0.0
Charleston Southern,0.002,0.0,0.002,0.998,0.0,0.0,0.0
Charlotte,0.002,0.0,0.002,0.998,0.0,0.0,0.0
Delaware St.,0.002,0.0,0.002,0.998,0.0,0.0,0.0
Denver,0.002,0.0,0.002,0.998,0.0,0.0,0.0
Georgia Southern,0.002,0.0,0.002,0.998,0.0,0.0,0.0
Lehigh,0.002,0.0,0.002,0.998,0.0,0.0,0.0
Niagara,0.002,0.0,0.002,0.998,0.0,0.0,0.0
Northwestern St.,0.002,0.0,0.002,0.998,0.0,0.0,0.0
Princeton,0.002,0.0,0.002,0.998,0.0,0.0,0.0
Richmond,0.002,0.0,0.002,0.998,0.0,0.0,0.0
Sacramento St.,0.002,0.0,0.002,0.998,0.0,0.0,0.0
Samford,0.002,0.0,0.002,0.998,0.0,0.0,0.0
Western Kentucky,0.002,0.0,0.002,0.998,0.0,0.0,0.0
Colorado,0.001,0.001,0.0,1.0,0.001,0.139,0.139
DePaul,0.001,0.001,0.0,1.0,0.001,0.116,0.116
Notre Dame,0.001,0.001,0.0,1.0,0.001,0.088,0.088
Minnesota,0.001,0.0,0.001,0.999,0.0,0.063,0.062
Georgetown,0.001,0.0,0.001,0.999,0.0,0.013,0.012
Davidson,0.001,0.0,0.001,0.999,0.0,0.001,0.001
Bryant,0.001,0.0,0.001,0.999,0.0,0.0,0.0
Campbell,0.001,0.0,0.001,0.999,0.0,0.0,0.0
Canisius,0.001,0.0,0.001,0.999,0.0,0.0,0.0
Cleveland St.,0.001,0.0,0.001,0.999,0.0,0.0,0.0
Kent St.,0.001,0.0,0.001,0.999,0.0,0.0,0.0
Loyola MD,0.001,0.0,0.001,0.999,0.0,0.0,0.0
Nebraska Omaha,0.001,0.0,0.001,0.999,0.0,0.0,0.0
North Carolina A&T,0.001,0.0,0.001,0.999,0.0,0.0,0.0
Presbyterian,0.001,0.0,0.001,0.999,0.0,0.0,0.0
Radford,0.001,0.0,0.001,0.999,0.0,0.0,0.0
Sacred Heart,0.001,0.0,0.001,0.999,0.0,0.0,0.0
South Dakota,0.001,0.0,0.001,0.999,0.0,0.0,0.0
Southern Indiana,0.001,0.0,0.001,0.999,0.0,0.0,0.0
Tennessee Tech,0.001,0.0,0.001,0.999,0.0,0.0,0.0
Toledo,0.001,0.0,0.001,0.999,0.0,0.0,0.0
UNLV,0.001,0.0,0.001,0.999,0.0,0.0,0.0
Western Carolina,0.001,0.0,0.001,0.999,0.0,0.0,0.0
Oklahoma,0.0,0.0,0.0,1.0,0.0,0.133,0.133
Arizona St.,0.0,0.0,0.0,1.0,0.0,0.086,0.086
Cincinnati,0.0,0.0,0.0,1.0,0.0,0.067,0.067
Northwestern,0.0,0.0,0.0,1.0,0.0,0.056,0.056
Dayton,0.0,0.0,0.0,1.0,0.0,0.054,0.054
South Carolina,0.0,0.0,0.0,1.0,0.0,0.048,0.048
Xavier,0.0,0.0,0.0,1.0,0.0,0.046,0.046
Syracuse,0.0,0.0,0.0,1.0,0.0,0.022,0.022
Mississippi St.,0.0,0.0,0.0,1.0,0.0,0.006,0.006
Kansas St.,0.0,0.0,0.0,1.0,0.0,0.003,0.003
Utah,0.0,0.0,0.0,1.0,0.0,0.001,0.001
