Team,Seed,Prob
Akron,10,0.005
Akron,11,0.099
Akron,12,0.294
Akron,13,0.01
Alabama,2,0.016
Alabama,3,0.077
Alabama,4,0.236
Alabama,5,0.318
Alabama,6,0.201
Alabama,7,0.087
Alabama,8,0.045
Alabama,9,0.017
Alabama,10,0.001
Alabama,11,0.002
Alabama A&M,16,0.068
Alabama St.,16,0.009
Albany,16,0.015
Alcorn St.,16,0.006
American,15,0.035
American,16,0.179
Appalachian St.,14,0.003
Appalachian St.,15,0.014
Appalachian St.,16,0.003
Arizona,1,0.983
Arizona,2,0.017
Arizona St.,11,0.001
Arkansas,2,0.005
Arkansas,3,0.055
Arkansas,4,0.201
Arkansas,5,0.322
Arkansas,6,0.233
Arkansas,7,0.114
Arkansas,8,0.046
Arkansas,9,0.018
Arkansas,10,0.006
Arkansas Pine Bluff,16,0.099
Arkansas St.,13,0.001
Arkansas St.,14,0.018
Arkansas St.,15,0.216
Arkansas St.,16,0.1
Army,16,0.003
Auburn,3,0.003
Auburn,4,0.024
Auburn,5,0.113
Auburn,6,0.18
Auburn,7,0.227
Auburn,8,0.213
Auburn,9,0.137
Auburn,10,0.066
Auburn,11,0.027
Auburn,12,0.002
Austin Peay,13,0.017
Austin Peay,14,0.207
Austin Peay,15,0.099
BYU,1,0.001
BYU,2,0.067
BYU,3,0.154
BYU,4,0.334
BYU,5,0.266
BYU,6,0.117
BYU,7,0.041
BYU,8,0.014
BYU,9,0.006
Baylor,9,0.001
Baylor,10,0.005
Baylor,11,0.013
Baylor,12,0.002
Bellarmine,16,0.002
Belmont,7,0.001
Belmont,8,0.005
Belmont,9,0.027
Belmont,10,0.062
Belmont,11,0.233
Belmont,12,0.109
Bethune Cookman,15,0.024
Bethune Cookman,16,0.348
Boise St.,11,0.006
Boise St.,12,0.005
Boston University,16,0.012
Bowling Green,13,0.001
Bowling Green,14,0.031
Bowling Green,15,0.037
Bowling Green,16,0.004
Bradley,13,0.003
Bryant,16,0.001
Buffalo,13,0.002
Buffalo,14,0.013
Buffalo,15,0.01
Butler,8,0.001
Butler,9,0.008
Butler,10,0.022
Butler,11,0.055
Butler,12,0.005
CSUN,14,0.001
CSUN,15,0.004
CSUN,16,0.002
Cal Baptist,12,0.024
Cal Baptist,13,0.255
Cal Baptist,14,0.061
Cal Baptist,15,0.002
Cal St. Fullerton,14,0.001
Cal St. Fullerton,15,0.011
Cal St. Fullerton,16,0.005
California,7,0.001
California,8,0.009
California,9,0.029
California,10,0.065
California,11,0.138
California,12,0.01
Campbell,16,0.001
Canisius,16,0.005
Central Arkansas,14,0.015
Central Arkansas,15,0.223
Central Arkansas,16,0.102
Central Connecticut,16,0.149
Charleston,13,0.01
Charleston,14,0.043
Charleston,15,0.016
Charleston Southern,16,0.001
Charlotte,13,0.002
Charlotte,14,0.003
Charlotte,15,0.001
Chattanooga,16,0.001
Clemson,3,0.004
Clemson,4,0.026
Clemson,5,0.089
Clemson,6,0.204
Clemson,7,0.268
Clemson,8,0.204
Clemson,9,0.126
Clemson,10,0.056
Clemson,11,0.018
Cleveland St.,16,0.001
Coastal Carolina,15,0.003
Coastal Carolina,16,0.004
Colgate,14,0.002
Colgate,15,0.066
Colgate,16,0.066
Colorado St.,12,0.037
Colorado St.,13,0.016
Columbia,12,0.001
Columbia,13,0.023
Columbia,14,0.036
Columbia,15,0.005
Connecticut,1,0.223
Connecticut,2,0.541
Connecticut,3,0.195
Connecticut,4,0.038
Connecticut,5,0.002
Connecticut,6,0.001
Cornell,14,0.016
Cornell,15,0.018
Creighton,9,0.001
Creighton,10,0.002
Creighton,11,0.013
Dartmouth,15,0.002
Davidson,12,0.002
Davidson,13,0.006
Davidson,14,0.001
Delaware St.,16,0.001
Denver,15,0.001
Denver,16,0.003
Detroit Mercy,16,0.001
Drake,15,0.001
Drexel,15,0.009
Drexel,16,0.031
Duke,1,0.955
Duke,2,0.039
Duke,3,0.005
Duke,5,0.001
Duquesne,14,0.001
East Tennessee St.,12,0.002
East Tennessee St.,13,0.052
East Tennessee St.,14,0.226
East Tennessee St.,15,0.035
East Tennessee St.,16,0.001
Eastern Illinois,16,0.01
Eastern Kentucky,16,0.017
Eastern Washington,16,0.001
Elon,14,0.012
Elon,15,0.004
FIU,15,0.002
FIU,16,0.001
Fairfield,15,0.001
Fairfield,16,0.022
Fairleigh Dickinson,16,0.003
Florida,1,0.002
Florida,2,0.096
Florida,3,0.278
Florida,4,0.35
Florida,5,0.191
Florida,6,0.061
Florida,7,0.017
Florida,8,0.004
Florida,9,0.001
Florida A&M,16,0.021
Florida Atlantic,12,0.004
Florida Atlantic,13,0.01
Florida Gulf Coast,16,0.039
Furman,14,0.009
Furman,15,0.009
George Mason,9,0.003
George Mason,10,0.016
George Mason,11,0.048
George Mason,12,0.004
George Washington,11,0.003
George Washington,12,0.139
George Washington,13,0.06
Georgia,5,0.004
Georgia,6,0.028
Georgia,7,0.106
Georgia,8,0.159
Georgia,9,0.182
Georgia,10,0.188
Georgia,11,0.171
Georgia,12,0.004
Georgia St.,16,0.007
Gonzaga,1,0.019
Gonzaga,2,0.392
Gonzaga,3,0.431
Gonzaga,4,0.147
Gonzaga,5,0.011
Grambling St.,16,0.179
Grand Canyon,10,0.002
Grand Canyon,11,0.069
Grand Canyon,12,0.105
Grand Canyon,13,0.001
Green Bay,15,0.005
Green Bay,16,0.012
Hampton,16,0.003
Harvard,14,0.015
Harvard,15,0.008
Harvard,16,0.001
Hawaii,12,0.076
Hawaii,13,0.479
Hawaii,14,0.042
High Point,12,0.069
High Point,13,0.575
High Point,14,0.096
Hofstra,13,0.021
Hofstra,14,0.119
Hofstra,15,0.056
Holy Cross,16,0.007
Houston,1,0.062
Houston,2,0.456
Houston,3,0.325
Houston,4,0.115
Houston,5,0.036
Houston,6,0.006
Howard,16,0.494
Idaho,14,0.018
Idaho,15,0.067
Idaho,16,0.009
Idaho St.,14,0.002
Idaho St.,15,0.043
Idaho St.,16,0.034
Illinois,1,0.076
Illinois,2,0.45
Illinois,3,0.326
Illinois,4,0.123
Illinois,5,0.021
Illinois,6,0.004
Illinois Chicago,13,0.006
Illinois Chicago,14,0.013
Illinois Chicago,15,0.002
Illinois St.,11,0.008
Illinois St.,12,0.296
Illinois St.,13,0.099
Illinois St.,14,0.001
Indiana,4,0.001
Indiana,5,0.003
Indiana,6,0.023
Indiana,7,0.068
Indiana,8,0.128
Indiana,9,0.186
Indiana,10,0.193
Indiana,11,0.177
Indiana,12,0.011
Iona,15,0.004
Iona,16,0.041
Iowa,3,0.001
Iowa,4,0.021
Iowa,5,0.068
Iowa,6,0.174
Iowa,7,0.218
Iowa,8,0.208
Iowa,9,0.149
Iowa,10,0.071
Iowa,11,0.065
Iowa,12,0.002
Iowa St.,1,0.023
Iowa St.,2,0.316
Iowa St.,3,0.373
Iowa St.,4,0.228
Iowa St.,5,0.054
Iowa St.,6,0.005
Iowa St.,7,0.001
Jackson St.,16,0.012
Jacksonville,16,0.008
Jacksonville St.,14,0.009
Jacksonville St.,15,0.008
Jacksonville St.,16,0.003
James Madison,15,0.026
James Madison,16,0.035
Kansas,1,0.003
Kansas,2,0.067
Kansas,3,0.193
Kansas,4,0.365
Kansas,5,0.248
Kansas,6,0.097
Kansas,7,0.018
Kansas,8,0.007
Kansas,9,0.001
Kansas,10,0.001
Kennesaw St.,13,0.016
Kennesaw St.,14,0.053
Kennesaw St.,15,0.011
Kent St.,13,0.004
Kentucky,4,0.001
Kentucky,5,0.012
Kentucky,6,0.041
Kentucky,7,0.097
Kentucky,8,0.153
Kentucky,9,0.213
Kentucky,10,0.161
Kentucky,11,0.168
Kentucky,12,0.01
LIU,14,0.03
LIU,15,0.335
LIU,16,0.208
LSU,8,0.001
LSU,9,0.001
LSU,10,0.002
LSU,11,0.015
LSU,12,0.005
Lafayette,16,0.005
Lamar,15,0.005
Le Moyne,16,0.22
Lehigh,16,0.003
Liberty,9,0.002
Liberty,10,0.014
Liberty,11,0.131
Liberty,12,0.415
Liberty,13,0.025
Lindenwood,15,0.06
Lindenwood,16,0.151
Lipscomb,13,0.005
Lipscomb,14,0.081
Lipscomb,15,0.075
Lipscomb,16,0.001
Little Rock,16,0.052
Long Beach St.,16,0.002
Longwood,16,0.007
Louisville,3,0.004
Louisville,4,0.046
Louisville,5,0.172
Louisville,6,0.271
Louisville,7,0.202
Louisville,8,0.142
Louisville,9,0.091
Louisville,10,0.045
Louisville,11,0.018
Maine,16,0.019
Marist,14,0.013
Marist,15,0.163
Marist,16,0.062
Marshall,13,0.002
Marshall,14,0.055
Marshall,15,0.115
Marshall,16,0.006
Maryland Eastern Shore,16,0.402
Massachusetts,15,0.001
Massachusetts,16,0.001
McNeese,9,0.007
McNeese,10,0.038
McNeese,11,0.221
McNeese,12,0.364
McNeese,13,0.003
Memphis,12,0.013
Memphis,13,0.046
Memphis,14,0.001
Mercer,13,0.089
Mercer,14,0.368
Mercer,15,0.082
Mercyhurst,16,0.046
Merrimack,15,0.081
Merrimack,16,0.23
Miami FL,5,0.002
Miami FL,6,0.007
Miami FL,7,0.034
Miami FL,8,0.094
Miami FL,9,0.163
Miami FL,10,0.171
Miami FL,11,0.207
Miami FL,12,0.009
Miami OH,8,0.014
Miami OH,9,0.048
Miami OH,10,0.102
Miami OH,11,0.275
Miami OH,12,0.124
Michigan,1,0.986
Michigan,2,0.014
Michigan St.,1,0.051
Michigan St.,2,0.39
Michigan St.,3,0.363
Michigan St.,4,0.17
Michigan St.,5,0.022
Michigan St.,6,0.004
Middle Tennessee,13,0.009
Middle Tennessee,14,0.031
Middle Tennessee,15,0.004
Milwaukee,16,0.006
Minnesota,11,0.001
Mississippi,11,0.003
Missouri,10,0.003
Missouri,11,0.02
Missouri St.,14,0.001
Missouri St.,15,0.008
Monmouth,15,0.003
Monmouth,16,0.006
Montana,13,0.04
Montana,14,0.176
Montana,15,0.045
Montana,16,0.001
Montana St.,13,0.016
Montana St.,14,0.103
Montana St.,15,0.034
Morehead St.,16,0.029
Morgan St.,16,0.012
Mount St. Mary's,16,0.028
Murray St.,11,0.002
Murray St.,12,0.058
Murray St.,13,0.011
N.C. State,4,0.011
N.C. State,5,0.066
N.C. State,6,0.151
N.C. State,7,0.215
N.C. State,8,0.22
N.C. State,9,0.152
N.C. State,10,0.107
N.C. State,11,0.05
N.C. State,12,0.004
NJIT,16,0.014
Navy,13,0.007
Navy,14,0.237
Navy,15,0.367
Navy,16,0.011
Nebraska,1,0.537
Nebraska,2,0.391
Nebraska,3,0.068
Nebraska,4,0.003
Nebraska,5,0.001
Nevada,8,0.002
Nevada,9,0.005
Nevada,10,0.022
Nevada,11,0.083
Nevada,12,0.007
New Hampshire,16,0.069
New Haven,16,0.002
New Mexico,5,0.007
New Mexico,6,0.045
New Mexico,7,0.138
New Mexico,8,0.188
New Mexico,9,0.21
New Mexico,10,0.184
New Mexico,11,0.129
New Mexico,12,0.005
New Mexico St.,15,0.001
New Orleans,14,0.001
New Orleans,15,0.002
New Orleans,16,0.002
Niagara,16,0.009
Norfolk St.,16,0.06
North Carolina,3,0.011
North Carolina,4,0.054
North Carolina,5,0.18
North Carolina,6,0.241
North Carolina,7,0.235
North Carolina,8,0.152
North Carolina,9,0.084
North Carolina,10,0.024
North Carolina,11,0.011
North Carolina,12,0.001
North Carolina Central,16,0.029
North Dakota,16,0.001
North Dakota St.,12,0.004
North Dakota St.,13,0.13
North Dakota St.,14,0.08
North Dakota St.,15,0.004
Northern Arizona,16,0.001
Northern Colorado,15,0.04
Northern Colorado,16,0.027
Northern Iowa,12,0.001
Northern Iowa,13,0.033
Northern Iowa,14,0.013
Northern Kentucky,14,0.001
Northern Kentucky,15,0.035
Northern Kentucky,16,0.022
Northwestern,11,0.002
Oakland,13,0.052
Oakland,14,0.367
Oakland,15,0.113
Oakland,16,0.001
Ohio St.,5,0.004
Ohio St.,6,0.014
Ohio St.,7,0.04
Ohio St.,8,0.09
Ohio St.,9,0.141
Ohio St.,10,0.193
Ohio St.,11,0.213
Ohio St.,12,0.014
Oklahoma,11,0.001
Oklahoma St.,8,0.001
Oklahoma St.,9,0.003
Oklahoma St.,10,0.002
Oklahoma St.,11,0.019
Old Dominion,16,0.019
Oral Roberts,16,0.001
Penn,14,0.006
Penn,15,0.037
Penn,16,0.009
Portland St.,12,0.002
Portland St.,13,0.081
Portland St.,14,0.161
Portland St.,15,0.016
Prairie View A&M,16,0.009
Presbyterian,16,0.005
Princeton,16,0.006
Providence,12,0.008
Purdue,1,0.056
Purdue,2,0.347
Purdue,3,0.327
Purdue,4,0.21
Purdue,5,0.043
Purdue,6,0.016
Purdue,7,0.001
Purdue Fort Wayne,15,0.007
Purdue Fort Wayne,16,0.002
Queens,14,0.004
Queens,15,0.065
Queens,16,0.038
Quinnipiac,15,0.046
Quinnipiac,16,0.215
Radford,16,0.001
Rhode Island,12,0.003
Rhode Island,13,0.004
Richmond,13,0.003
Robert Morris,15,0.021
Robert Morris,16,0.013
SIUE,16,0.046
SMU,4,0.012
SMU,5,0.078
SMU,6,0.144
SMU,7,0.239
SMU,8,0.192
SMU,9,0.165
SMU,10,0.086
SMU,11,0.063
SMU,12,0.001
Sacramento St.,16,0.003
Sacred Heart,16,0.003
Saint Joseph's,13,0.002
Saint Louis,3,0.007
Saint Louis,4,0.147
Saint Louis,5,0.373
Saint Louis,6,0.304
Saint Louis,7,0.122
Saint Louis,8,0.038
Saint Louis,9,0.009
Saint Mary's,4,0.003
Saint Mary's,5,0.03
Saint Mary's,6,0.142
Saint Mary's,7,0.254
Saint Mary's,8,0.284
Saint Mary's,9,0.165
Saint Mary's,10,0.073
Saint Mary's,11,0.031
Sam Houston St.,12,0.04
Sam Houston St.,13,0.186
Sam Houston St.,14,0.026
Sam Houston St.,15,0.001
Samford,16,0.006
San Diego St.,6,0.01
San Diego St.,7,0.027
San Diego St.,8,0.089
San Diego St.,9,0.146
San Diego St.,10,0.169
San Diego St.,11,0.223
San Diego St.,12,0.013
San Francisco,12,0.002
Santa Clara,7,0.013
Santa Clara,8,0.052
Santa Clara,9,0.103
Santa Clara,10,0.195
Santa Clara,11,0.267
Santa Clara,12,0.022
Seton Hall,6,0.001
Seton Hall,7,0.006
Seton Hall,8,0.012
Seton Hall,9,0.056
Seton Hall,10,0.081
Seton Hall,11,0.174
Seton Hall,12,0.01
Siena,14,0.005
Siena,15,0.054
Siena,16,0.018
South Alabama,13,0.002
South Alabama,14,0.022
South Alabama,15,0.057
South Alabama,16,0.004
South Carolina St.,16,0.002
South Dakota,16,0.002
South Dakota St.,15,0.02
South Dakota St.,16,0.365
South Florida,11,0.045
South Florida,12,0.207
South Florida,13,0.022
Southeast Missouri,16,0.01
Southern,16,0.185
Southern Illinois,13,0.005
Southern Illinois,14,0.024
Southern Illinois,15,0.021
Southern Illinois,16,0.001
Southern Utah,16,0.001
St. John's,3,0.011
St. John's,4,0.092
St. John's,5,0.274
St. John's,6,0.298
St. John's,7,0.192
St. John's,8,0.092
St. John's,9,0.03
St. John's,10,0.009
St. John's,12,0.001
St. Thomas,12,0.002
St. Thomas,13,0.182
St. Thomas,14,0.196
St. Thomas,15,0.009
Stanford,8,0.001
Stanford,9,0.001
Stanford,10,0.004
Stanford,11,0.009
Stanford,12,0.002
Stephen F. Austin,11,0.008
Stephen F. Austin,12,0.266
Stephen F. Austin,13,0.06
Stetson,16,0.001
Stony Brook,14,0.001
Stony Brook,15,0.003
Syracuse,11,0.001
TCU,7,0.001
TCU,8,0.013
TCU,9,0.038
TCU,10,0.089
TCU,11,0.178
TCU,12,0.013
Tarleton St.,15,0.002
Temple,13,0.003
Temple,14,0.003
Tennessee,3,0.011
Tennessee,4,0.104
Tennessee,5,0.238
Tennessee,6,0.253
Tennessee,7,0.212
Tennessee,8,0.101
Tennessee,9,0.053
Tennessee,10,0.022
Tennessee,11,0.002
Tennessee Martin,14,0.062
Tennessee Martin,15,0.447
Tennessee Martin,16,0.124
Tennessee St.,15,0.006
Tennessee St.,16,0.003
Texas,6,0.001
Texas,7,0.017
Texas,8,0.054
Texas,9,0.096
Texas,10,0.127
Texas,11,0.199
Texas,12,0.019
Texas A&M,4,0.002
Texas A&M,5,0.003
Texas A&M,6,0.037
