Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Abilene Christian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002
Akron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.124,0.489,0.034,0.0,0.0,0.0
Alabama,0.0,0.011,0.089,0.278,0.29,0.195,0.078,0.044,0.009,0.005,0.001,0.0,0.0,0.0,0.0,0.0
Alabama A&M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064
Alabama St.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005
Albany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008
Alcorn St.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007
American,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.178
Appalachian St.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003
Arizona,0.989,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arizona St.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
Arkansas,0.0,0.002,0.057,0.206,0.321,0.214,0.13,0.042,0.021,0.004,0.002,0.0,0.0,0.0,0.0,0.0
Arkansas Pine Bluff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113
Arkansas St.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.199,0.119
Army,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
Auburn,0.0,0.0,0.0,0.032,0.091,0.197,0.223,0.209,0.143,0.057,0.042,0.0,0.0,0.0,0.0,0.0
Austin Peay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.207,0.115,0.002
BYU,0.0,0.036,0.183,0.345,0.275,0.1,0.043,0.011,0.005,0.002,0.0,0.0,0.0,0.0,0.0,0.0
