Team,Seed,Count,P(Seed),P(Seed | In)
Arizona,1,2000,1.0,1.0
Arizona,2,0,0.0,0.0
Arizona,3,0,0.0,0.0
Arizona,4,0,0.0,0.0
Arizona,5,0,0.0,0.0
Arizona,6,0,0.0,0.0
Arizona,7,0,0.0,0.0
Arizona,8,0,0.0,0.0
Arizona,9,0,0.0,0.0
Arizona,10,0,0.0,0.0
Arizona,11,0,0.0,0.0
Arizona,12,0,0.0,0.0
Arizona,13,0,0.0,0.0
Arizona,14,0,0.0,0.0
Arizona,15,0,0.0,0.0
Arizona,16,0,0.0,0.0
Michigan,1,2000,1.0,1.0
Michigan,2,0,0.0,0.0
Michigan,3,0,0.0,0.0
Michigan,4,0,0.0,0.0
Michigan,5,0,0.0,0.0
Michigan,6,0,0.0,0.0
Michigan,7,0,0.0,0.0
Michigan,8,0,0.0,0.0
Michigan,9,0,0.0,0.0
Michigan,10,0,0.0,0.0
Michigan,11,0,0.0,0.0
Michigan,12,0,0.0,0.0
Michigan,13,0,0.0,0.0
Michigan,14,0,0.0,0.0
Michigan,15,0,0.0,0.0
Michigan,16,0,0.0,0.0
Duke,1,2000,1.0,1.0
Duke,2,0,0.0,0.0
Duke,3,0,0.0,0.0
Duke,4,0,0.0,0.0
Duke,5,0,0.0,0.0
Duke,6,0,0.0,0.0
Duke,7,0,0.0,0.0
Duke,8,0,0.0,0.0
Duke,9,0,0.0,0.0
Duke,10,0,0.0,0.0
Duke,11,0,0.0,0.0
Duke,12,0,0.0,0.0
Duke,13,0,0.0,0.0
Duke,14,0,0.0,0.0
Duke,15,0,0.0,0.0
Duke,16,0,0.0,0.0
Michigan St.,1,0,0.0,0.0
Michigan St.,2,2000,1.0,1.0
Michigan St.,3,0,0.0,0.0
Michigan St.,4,0,0.0,0.0
Michigan St.,5,0,0.0,0.0
Michigan St.,6,0,0.0,0.0
Michigan St.,7,0,0.0,0.0
Michigan St.,8,0,0.0,0.0
Michigan St.,9,0,0.0,0.0
Michigan St.,10,0,0.0,0.0
Michigan St.,11,0,0.0,0.0
Michigan St.,12,0,0.0,0.0
Michigan St.,13,0,0.0,0.0
Michigan St.,14,0,0.0,0.0
Michigan St.,15,0,0.0,0.0
Michigan St.,16,0,0.0,0.0
Nebraska,1,2000,1.0,1.0
Nebraska,2,0,0.0,0.0
Nebraska,3,0,0.0,0.0
Nebraska,4,0,0.0,0.0
Nebraska,5,0,0.0,0.0
Nebraska,6,0,0.0,0.0
Nebraska,7,0,0.0,0.0
Nebraska,8,0,0.0,0.0
Nebraska,9,0,0.0,0.0
Nebraska,10,0,0.0,0.0
Nebraska,11,0,0.0,0.0
Nebraska,12,0,0.0,0.0
Nebraska,13,0,0.0,0.0
Nebraska,14,0,0.0,0.0
Nebraska,15,0,0.0,0.0
Nebraska,16,0,0.0,0.0
Purdue,1,0,0.0,0.0
Purdue,2,0,0.0,0.0
Purdue,3,2000,1.0,1.0
Purdue,4,0,0.0,0.0
Purdue,5,0,0.0,0.0
Purdue,6,0,0.0,0.0
Purdue,7,0,0.0,0.0
Purdue,8,0,0.0,0.0
Purdue,9,0,0.0,0.0
Purdue,10,0,0.0,0.0
Purdue,11,0,0.0,0.0
Purdue,12,0,0.0,0.0
Purdue,13,0,0.0,0.0
Purdue,14,0,0.0,0.0
Purdue,15,0,0.0,0.0
Purdue,16,0,0.0,0.0
Illinois,1,0,0.0,0.0
Illinois,2,2000,1.0,1.0
Illinois,3,0,0.0,0.0
Illinois,4,0,0.0,0.0
Illinois,5,0,0.0,0.0
Illinois,6,0,0.0,0.0
Illinois,7,0,0.0,0.0
Illinois,8,0,0.0,0.0
Illinois,9,0,0.0,0.0
Illinois,10,0,0.0,0.0
Illinois,11,0,0.0,0.0
Illinois,12,0,0.0,0.0
Illinois,13,0,0.0,0.0
Illinois,14,0,0.0,0.0
Illinois,15,0,0.0,0.0
Illinois,16,0,0.0,0.0
Houston,1,0,0.0,0.0
Houston,2,0,0.0,0.0
Houston,3,2000,1.0,1.0
Houston,4,0,0.0,0.0
Houston,5,0,0.0,0.0
Houston,6,0,0.0,0.0
Houston,7,0,0.0,0.0
Houston,8,0,0.0,0.0
Houston,9,0,0.0,0.0
Houston,10,0,0.0,0.0
Houston,11,0,0.0,0.0
Houston,12,0,0.0,0.0
Houston,13,0,0.0,0.0
Houston,14,0,0.0,0.0
Houston,15,0,0.0,0.0
Houston,16,0,0.0,0.0
Gonzaga,1,0,0.0,0.0
Gonzaga,2,2000,1.0,1.0
Gonzaga,3,0,0.0,0.0
Gonzaga,4,0,0.0,0.0
Gonzaga,5,0,0.0,0.0
Gonzaga,6,0,0.0,0.0
Gonzaga,7,0,0.0,0.0
Gonzaga,8,0,0.0,0.0
Gonzaga,9,0,0.0,0.0
Gonzaga,10,0,0.0,0.0
Gonzaga,11,0,0.0,0.0
Gonzaga,12,0,0.0,0.0
Gonzaga,13,0,0.0,0.0
Gonzaga,14,0,0.0,0.0
Gonzaga,15,0,0.0,0.0
Gonzaga,16,0,0.0,0.0
Connecticut,1,0,0.0,0.0
Connecticut,2,2000,1.0,1.0
Connecticut,3,0,0.0,0.0
Connecticut,4,0,0.0,0.0
Connecticut,5,0,0.0,0.0
Connecticut,6,0,0.0,0.0
Connecticut,7,0,0.0,0.0
Connecticut,8,0,0.0,0.0
Connecticut,9,0,0.0,0.0
Connecticut,10,0,0.0,0.0
Connecticut,11,0,0.0,0.0
Connecticut,12,0,0.0,0.0
Connecticut,13,0,0.0,0.0
Connecticut,14,0,0.0,0.0
Connecticut,15,0,0.0,0.0
Connecticut,16,0,0.0,0.0
Iowa St.,1,0,0.0,0.0
Iowa St.,2,0,0.0,0.0
Iowa St.,3,2000,1.0,1.0
Iowa St.,4,0,0.0,0.0
Iowa St.,5,0,0.0,0.0
Iowa St.,6,0,0.0,0.0
Iowa St.,7,0,0.0,0.0
Iowa St.,8,0,0.0,0.0
Iowa St.,9,0,0.0,0.0
Iowa St.,10,0,0.0,0.0
Iowa St.,11,0,0.0,0.0
Iowa St.,12,0,0.0,0.0
Iowa St.,13,0,0.0,0.0
Iowa St.,14,0,0.0,0.0
Iowa St.,15,0,0.0,0.0
Iowa St.,16,0,0.0,0.0
Kansas,1,0,0.0,0.0
Kansas,2,0,0.0,0.0
Kansas,3,0,0.0,0.0
Kansas,4,2000,1.0,1.0
Kansas,5,0,0.0,0.0
Kansas,6,0,0.0,0.0
Kansas,7,0,0.0,0.0
Kansas,8,0,0.0,0.0
Kansas,9,0,0.0,0.0
Kansas,10,0,0.0,0.0
Kansas,11,0,0.0,0.0
Kansas,12,0,0.0,0.0
Kansas,13,0,0.0,0.0
Kansas,14,0,0.0,0.0
Kansas,15,0,0.0,0.0
Kansas,16,0,0.0,0.0
Florida,1,0,0.0,0.0
Florida,2,0,0.0,0.0
Florida,3,0,0.0,0.0
Florida,4,0,0.0,0.0
Florida,5,2000,1.0,1.0
Florida,6,0,0.0,0.0
Florida,7,0,0.0,0.0
Florida,8,0,0.0,0.0
Florida,9,0,0.0,0.0
Florida,10,0,0.0,0.0
Florida,11,0,0.0,0.0
Florida,12,0,0.0,0.0
Florida,13,0,0.0,0.0
Florida,14,0,0.0,0.0
Florida,15,0,0.0,0.0
Florida,16,0,0.0,0.0
Texas Tech,1,0,0.0,0.0
Texas Tech,2,0,0.0,0.0
Texas Tech,3,0,0.0,0.0
Texas Tech,4,2000,1.0,1.0
Texas Tech,5,0,0.0,0.0
Texas Tech,6,0,0.0,0.0
Texas Tech,7,0,0.0,0.0
Texas Tech,8,0,0.0,0.0
Texas Tech,9,0,0.0,0.0
Texas Tech,10,0,0.0,0.0
Texas Tech,11,0,0.0,0.0
Texas Tech,12,0,0.0,0.0
Texas Tech,13,0,0.0,0.0
Texas Tech,14,0,0.0,0.0
Texas Tech,15,0,0.0,0.0
Texas Tech,16,0,0.0,0.0
Vanderbilt,1,0,0.0,0.0
Vanderbilt,2,0,0.0,0.0
Vanderbilt,3,2000,1.0,1.0
Vanderbilt,4,0,0.0,0.0
Vanderbilt,5,0,0.0,0.0
Vanderbilt,6,0,0.0,0.0
Vanderbilt,7,0,0.0,0.0
Vanderbilt,8,0,0.0,0.0
Vanderbilt,9,0,0.0,0.0
Vanderbilt,10,0,0.0,0.0
Vanderbilt,11,0,0.0,0.0
Vanderbilt,12,0,0.0,0.0
Vanderbilt,13,0,0.0,0.0
Vanderbilt,14,0,0.0,0.0
Vanderbilt,15,0,0.0,0.0
Vanderbilt,16,0,0.0,0.0
Virginia,1,0,0.0,0.0
Virginia,2,0,0.0,0.0
Virginia,3,0,0.0,0.0
Virginia,4,2000,1.0,1.0
Virginia,5,0,0.0,0.0
Virginia,6,0,0.0,0.0
Virginia,7,0,0.0,0.0
Virginia,8,0,0.0,0.0
Virginia,9,0,0.0,0.0
Virginia,10,0,0.0,0.0
Virginia,11,0,0.0,0.0
Virginia,12,0,0.0,0.0
Virginia,13,0,0.0,0.0
Virginia,14,0,0.0,0.0
Virginia,15,0,0.0,0.0
Virginia,16,0,0.0,0.0
BYU,1,0,0.0,0.0
BYU,2,0,0.0,0.0
BYU,3,0,0.0,0.0
BYU,4,2000,1.0,1.0
BYU,5,0,0.0,0.0
BYU,6,0,0.0,0.0
BYU,7,0,0.0,0.0
BYU,8,0,0.0,0.0
BYU,9,0,0.0,0.0
BYU,10,0,0.0,0.0
BYU,11,0,0.0,0.0
BYU,12,0,0.0,0.0
BYU,13,0,0.0,0.0
BYU,14,0,0.0,0.0
BYU,15,0,0.0,0.0
BYU,16,0,0.0,0.0
Saint Louis,1,0,0.0,0.0
Saint Louis,2,0,0.0,0.0
Saint Louis,3,0,0.0,0.0
Saint Louis,4,0,0.0,0.0
Saint Louis,5,0,0.0,0.0
Saint Louis,6,2000,1.0,1.0
Saint Louis,7,0,0.0,0.0
Saint Louis,8,0,0.0,0.0
Saint Louis,9,0,0.0,0.0
Saint Louis,10,0,0.0,0.0
Saint Louis,11,0,0.0,0.0
Saint Louis,12,0,0.0,0.0
Saint Louis,13,0,0.0,0.0
Saint Louis,14,0,0.0,0.0
Saint Louis,15,0,0.0,0.0
Saint Louis,16,0,0.0,0.0
Tennessee,1,0,0.0,0.0
Tennessee,2,0,0.0,0.0
Tennessee,3,0,0.0,0.0
Tennessee,4,0,0.0,0.0
Tennessee,5,0,0.0,0.0
Tennessee,6,0,0.0,0.0
Tennessee,7,2000,1.0,1.0
Tennessee,8,0,0.0,0.0
Tennessee,9,0,0.0,0.0
Tennessee,10,0,0.0,0.0
Tennessee,11,0,0.0,0.0
Tennessee,12,0,0.0,0.0
Tennessee,13,0,0.0,0.0
Tennessee,14,0,0.0,0.0
Tennessee,15,0,0.0,0.0
Tennessee,16,0,0.0,0.0
Arkansas,1,0,0.0,0.0
Arkansas,2,0,0.0,0.0
Arkansas,3,0,0.0,0.0
Arkansas,4,0,0.0,0.0
Arkansas,5,2000,1.0,1.0
Arkansas,6,0,0.0,0.0
Arkansas,7,0,0.0,0.0
Arkansas,8,0,0.0,0.0
Arkansas,9,0,0.0,0.0
Arkansas,10,0,0.0,0.0
Arkansas,11,0,0.0,0.0
Arkansas,12,0,0.0,0.0
Arkansas,13,0,0.0,0.0
Arkansas,14,0,0.0,0.0
Arkansas,15,0,0.0,0.0
Arkansas,16,0,0.0,0.0
Alabama,1,0,0.0,0.0
Alabama,2,0,0.0,0.0
Alabama,3,0,0.0,0.0
Alabama,4,0,0.0,0.0
Alabama,5,2000,1.0,1.0
Alabama,6,0,0.0,0.0
Alabama,7,0,0.0,0.0
Alabama,8,0,0.0,0.0
Alabama,9,0,0.0,0.0
Alabama,10,0,0.0,0.0
Alabama,11,0,0.0,0.0
Alabama,12,0,0.0,0.0
Alabama,13,0,0.0,0.0
Alabama,14,0,0.0,0.0
Alabama,15,0,0.0,0.0
Alabama,16,0,0.0,0.0
Louisville,1,0,0.0,0.0
Louisville,2,0,0.0,0.0
Louisville,3,0,0.0,0.0
Louisville,4,0,0.0,0.0
Louisville,5,0,0.0,0.0
Louisville,6,2000,1.0,1.0
Louisville,7,0,0.0,0.0
Louisville,8,0,0.0,0.0
Louisville,9,0,0.0,0.0
Louisville,10,0,0.0,0.0
Louisville,11,0,0.0,0.0
Louisville,12,0,0.0,0.0
Louisville,13,0,0.0,0.0
Louisville,14,0,0.0,0.0
Louisville,15,0,0.0,0.0
Louisville,16,0,0.0,0.0
St. John's,1,0,0.0,0.0
St. John's,2,0,0.0,0.0
St. John's,3,0,0.0,0.0
St. John's,4,0,0.0,0.0
St. John's,5,0,0.0,0.0
St. John's,6,2000,1.0,1.0
St. John's,7,0,0.0,0.0
St. John's,8,0,0.0,0.0
St. John's,9,0,0.0,0.0
St. John's,10,0,0.0,0.0
St. John's,11,0,0.0,0.0
St. John's,12,0,0.0,0.0
St. John's,13,0,0.0,0.0
St. John's,14,0,0.0,0.0
St. John's,15,0,0.0,0.0
St. John's,16,0,0.0,0.0
Iowa,1,0,0.0,0.0
Iowa,2,0,0.0,0.0
Iowa,3,0,0.0,0.0
Iowa,4,0,0.0,0.0
Iowa,5,0,0.0,0.0
Iowa,6,0,0.0,0.0
Iowa,7,0,0.0,0.0
Iowa,8,0,0.0,0.0
Iowa,9,2000,1.0,1.0
Iowa,10,0,0.0,0.0
Iowa,11,0,0.0,0.0
Iowa,12,0,0.0,0.0
Iowa,13,0,0.0,0.0
Iowa,14,0,0.0,0.0
Iowa,15,0,0.0,0.0
Iowa,16,0,0.0,0.0
North Carolina,1,0,0.0,0.0
North Carolina,2,0,0.0,0.0
North Carolina,3,0,0.0,0.0
North Carolina,4,0,0.0,0.0
North Carolina,5,0,0.0,0.0
North Carolina,6,2000,1.0,1.0
North Carolina,7,0,0.0,0.0
North Carolina,8,0,0.0,0.0
North Carolina,9,0,0.0,0.0
North Carolina,10,0,0.0,0.0
North Carolina,11,0,0.0,0.0
North Carolina,12,0,0.0,0.0
North Carolina,13,0,0.0,0.0
North Carolina,14,0,0.0,0.0
North Carolina,15,0,0.0,0.0
North Carolina,16,0,0.0,0.0
Saint Mary's,1,0,0.0,0.0
Saint Mary's,2,0,0.0,0.0
Saint Mary's,3,0,0.0,0.0
Saint Mary's,4,0,0.0,0.0
Saint Mary's,5,0,0.0,0.0
Saint Mary's,6,0,0.0,0.0
Saint Mary's,7,0,0.0,0.0
Saint Mary's,8,2000,1.0,1.0
Saint Mary's,9,0,0.0,0.0
Saint Mary's,10,0,0.0,0.0
Saint Mary's,11,0,0.0,0.0
Saint Mary's,12,0,0.0,0.0
Saint Mary's,13,0,0.0,0.0
Saint Mary's,14,0,0.0,0.0
Saint Mary's,15,0,0.0,0.0
Saint Mary's,16,0,0.0,0.0
N.C. State,1,0,0.0,0.0
N.C. State,2,0,0.0,0.0
N.C. State,3,0,0.0,0.0
N.C. State,4,0,0.0,0.0
N.C. State,5,0,0.0,0.0
N.C. State,6,0,0.0,0.0
N.C. State,7,0,0.0,0.0
N.C. State,8,2000,1.0,1.0
N.C. State,9,0,0.0,0.0
N.C. State,10,0,0.0,0.0
N.C. State,11,0,0.0,0.0
N.C. State,12,0,0.0,0.0
N.C. State,13,0,0.0,0.0
N.C. State,14,0,0.0,0.0
N.C. State,15,0,0.0,0.0
N.C. State,16,0,0.0,0.0
Auburn,1,0,0.0,0.0
Auburn,2,0,0.0,0.0
Auburn,3,0,0.0,0.0
Auburn,4,0,0.0,0.0
Auburn,5,0,0.0,0.0
Auburn,6,0,0.0,0.0
Auburn,7,2000,1.0,1.0
Auburn,8,0,0.0,0.0
Auburn,9,0,0.0,0.0
Auburn,10,0,0.0,0.0
Auburn,11,0,0.0,0.0
Auburn,12,0,0.0,0.0
Auburn,13,0,0.0,0.0
Auburn,14,0,0.0,0.0
Auburn,15,0,0.0,0.0
Auburn,16,0,0.0,0.0
Kentucky,1,0,0.0,0.0
Kentucky,2,0,0.0,0.0
Kentucky,3,0,0.0,0.0
Kentucky,4,0,0.0,0.0
Kentucky,5,0,0.0,0.0
Kentucky,6,0,0.0,0.0
Kentucky,7,0,0.0,0.0
