Rank,Team,ExpectedMargin_vs_Avg
1,Michigan,44.28
2,Gonzaga,40.49
3,Arizona,35.77
4,Duke,35.77
5,Iowa St.,34.01
6,Vanderbilt,33.35
7,BYU,32.41
8,Connecticut,31.69
9,Alabama,29.58
10,Louisville,29.34
11,Michigan St.,29.04
12,Illinois,28.65
13,Purdue,28.08
14,Saint Mary's,27.28
15,St. John's,26.05
16,Kansas,25.3
17,Virginia,24.51
18,Georgia,24.18
19,Indiana,24.13
20,Texas Tech,24.11
21,Arkansas,23.23
22,Utah St.,23.15
23,Kentucky,22.72
24,Florida,22.17
25,Miami FL,22.03
26,Clemson,21.86
27,Nebraska,21.83
28,North Carolina,20.98
29,Butler,20.59
30,Ohio St.,20.4
31,SMU,19.97
32,Houston,19.83
33,LSU,19.78
34,Saint Louis,19.54
35,Tennessee,19.44
36,Iowa,19.34
37,Colorado,19.24
38,VCU,18.59
39,Wake Forest,18.01
40,Auburn,18.0
41,Seton Hall,17.66
42,Villanova,17.33
43,Akron,17.25
44,N.C. State,17.19
45,George Washington,16.76
46,Wisconsin,16.73
47,Belmont,16.58
48,McNeese,16.47
49,Virginia Tech,16.32
50,California,16.22
51,UCLA,16.21
52,TCU,16.2
53,George Mason,16.08
54,Tulsa,15.97
55,Northwestern,15.87
56,South Florida,15.75
57,Boise St.,15.48
58,USC,15.38
59,Colorado St.,15.06
60,UCF,15.01
61,Notre Dame,14.9
62,Yale,14.9
63,Wyoming,14.82
64,Baylor,14.73
65,Utah Valley,14.6
66,New Mexico,14.56
67,Sam Houston St.,14.54
68,Wichita St.,14.43
69,Oklahoma St.,14.41
70,Providence,14.12
71,Oklahoma,13.99
72,Santa Clara,12.82
73,Missouri,12.81
74,San Diego St.,12.33
75,Dayton,12.31
76,Murray St.,12.27
77,Washington,12.13
78,East Tennessee St.,12.07
79,South Carolina,11.61
80,Liberty,11.5
81,William & Mary,11.46
82,Columbia,11.1
83,Syracuse,10.91
84,Arizona St.,10.85
85,UC San Diego,10.7
86,Texas,10.67
87,Seattle,10.63
88,Texas A&M,10.48
89,Richmond,10.04
90,Nevada,9.99
91,Illinois St.,9.88
92,Stanford,9.66
93,Creighton,9.6
94,High Point,9.51
95,Pacific,9.44
96,Florida Atlantic,9.29
97,Mississippi,9.02
98,Kansas St.,8.95
99,Bowling Green,8.84
100,Rhode Island,8.83
101,Hofstra,8.77
102,Memphis,8.53
103,Northern Iowa,8.32
104,Lipscomb,8.26
105,West Virginia,8.18
106,St. Bonaventure,8.11
