Team,Preseason_AdjEM,Predicted Kenpom Rank
Houston,27.43,1
Purdue,27.3,2
Arizona,27.16,3
Arkansas,26.08,4
Connecticut,25.55,5
Iowa St.,25.07,6
Michigan St.,24.95,7
Alabama,24.81,8
Texas Tech,24.7,9
UCLA,24.49,10
Florida,23.9,11
BYU,23.55,12
Oregon,23.55,13
Michigan,22.77,14
Wisconsin,22.36,15
Tennessee,22.28,16
Kansas,21.87,17
St. John's,21.74,18
Kentucky,21.73,19
Illinois,21.59,20
Creighton,21.56,21
Mississippi St.,21.54,22
Gonzaga,21.12,23
Missouri,21.07,24
Saint Mary's,21.05,25
Marquette,20.99,26
Duke,20.84,27
Louisville,20.72,28
Auburn,19.97,29
Maryland,19.67,30
Texas A&M,19.59,31
Mississippi,18.48,32
North Carolina,18.43,33
Ohio St.,18.15,34
Baylor,18.06,35
Clemson,17.24,36
Georgia,17.19,37
Washington,17.01,38
Texas,16.69,39
Indiana,15.2,40
Northwestern,14.98,41
SMU,14.43,42
Nebraska,14.22,43
Wake Forest,13.88,44
Utah St.,13.53,45
San Diego St.,13.27,46
Iowa,13.15,47
USC,13.07,48
Vanderbilt,13.05,49
West Virginia,12.84,50
TCU,12.64,51
N.C. State,12.63,52
VCU,12.35,53
Virginia,12.03,54
Syracuse,11.98,55
Pittsburgh,11.88,56
Oklahoma St.,11.31,57
Butler,11.18,58
LSU,11.11,59
California,11.11,60
DePaul,10.65,61
Providence,10.62,62
Notre Dame,10.49,63
Georgetown,10.4,64
Rutgers,10.34,65
Xavier,9.69,66
Oklahoma,9.66,67
Dayton,9.46,68
UCF,9.45,69
Penn St.,9.23,70
Boise St.,9.23,71
Miami FL,9.02,72
South Carolina,8.76,73
Colorado St.,8.7,74
Colorado,8.66,75
Villanova,8.63,76
Arizona St.,8.59,77
Georgia Tech,8.23,78
Boston College,8.15,79
Minnesota,8.08,80
Cincinnati,7.98,81
Liberty,7.86,82
Kansas St.,7.85,83
Stanford,7.76,84
Virginia Tech,7.57,85
Florida St.,7.31,86
Utah,7.2,87
Yale,6.95,88
Memphis,6.94,89
UAB,6.79,90
George Mason,6.15,91
Northern Iowa,6.09,92
Nevada,6.05,93
Akron,5.84,94
Santa Clara,5.23,95
San Francisco,5.08,96
Drake,4.68,97
McNeese,4.66,98
Bradley,4.62,99
UC Irvine,4.39,100
UNLV,4.21,101
UNC Wilmington,4.19,102
Grand Canyon,4.12,103
Saint Louis,3.61,104
Seton Hall,3.54,105
Saint Joseph's,3.35,106
Loyola Chicago,3.19,107
North Texas,3.14,108
UC San Diego,3.02,109
Troy,2.65,110
Kennesaw St.,2.54,111
George Washington,2.42,112
UC Santa Barbara,2.36,113
New Mexico,2.2,114
Murray St.,1.74,115
Kent St.,1.65,116
Furman,1.2,117
Illinois St.,0.98,118
Charleston,0.96,119
Chattanooga,0.92,120
Belmont,0.91,121
Tulane,0.84,122
CSUN,0.77,123
Milwaukee,0.74,124
Northern Colorado,0.58,125
UTSA,0.54,126
Wichita St.,0.24,127
St. Thomas,0.2,128
Washington St.,0.2,129
Montana,0.16,130
Cornell,0.1,131
Florida Atlantic,0.06,132
Radford,-0.1,133
Miami OH,-0.43,134
Temple,-0.64,135
East Tennessee St.,-0.68,136
Louisiana Tech,-0.68,137
South Dakota St.,-0.81,138
New Mexico St.,-0.9,139
Oregon St.,-1,140
Longwood,-1.23,141
South Florida,-1.27,142
Utah Valley,-1.3,143
South Alabama,-1.34,144
Richmond,-1.36,145
Florida Gulf Coast,-1.37,146
Jacksonville St.,-1.39,147
Duquesne,-1.59,148
Arkansas St.,-1.61,149
Delaware,-1.62,150
Towson,-1.66,151
Lipscomb,-1.7,152
Rhode Island,-1.93,153
Montana St.,-1.97,154
Seattle,-1.99,155
Middle Tennessee,-2.54,156
Eastern Kentucky,-2.65,157
North Alabama,-2.66,158
Robert Morris,-2.74,159
Samford,-2.81,160
High Point,-2.81,161
East Carolina,-3.04,162
Marshall,-3.15,163
Quinnipiac,-3.2,164
Nebraska Omaha,-3.21,165
Purdue Fort Wayne,-3.32,166
Toledo,-3.4,167
San Diego,-3.47,168
Harvard,-3.47,169
Davidson,-3.52,170
Rice,-3.52,171
Princeton,-3.55,172
Brown,-3.66,173
Loyola Marymount,-3.8,174
Sam Houston St.,-3.87,175
Cal Baptist,-3.93,176
James Madison,-3.93,177
Oakland,-3.94,178
Portland St.,-4.04,179
Nicholls,-4.1,180
St. Bonaventure,-4.13,181
Southern Illinois,-4.15,182
