date,team,opponent,location_value,neutral,game_url,game_id
2026-01-25,CSUN,Hawaii,-1,0,,2026-01-25__CSUN__Hawaii
2026-01-25,Chicago St.,Mercyhurst,-1,0,,2026-01-25__Chicago St.__Mercyhurst
2026-01-25,Evansville,Southern Illinois,1,0,,2026-01-25__Evansville__Southern Illinois
2026-01-25,Florida Atlantic,South Florida,-1,0,,2026-01-25__Florida Atlantic__South Florida
2026-01-25,Hawaii,CSUN,1,0,,2026-01-25__CSUN__Hawaii
2026-01-25,IU Indy,Purdue Fort Wayne,1,0,,2026-01-25__IU Indy__Purdue Fort Wayne
2026-01-25,Mercyhurst,Chicago St.,1,0,,2026-01-25__Chicago St.__Mercyhurst
2026-01-25,New Haven,Saint Francis,1,0,,2026-01-25__New Haven__Saint Francis
2026-01-25,Oregon,Washington,-1,0,,2026-01-25__Oregon__Washington
2026-01-25,Purdue Fort Wayne,IU Indy,-1,0,,2026-01-25__IU Indy__Purdue Fort Wayne
2026-01-25,Saint Francis,New Haven,-1,0,,2026-01-25__New Haven__Saint Francis
2026-01-25,South Florida,Florida Atlantic,1,0,,2026-01-25__Florida Atlantic__South Florida
2026-01-25,Southern Illinois,Evansville,-1,0,,2026-01-25__Evansville__Southern Illinois
2026-01-25,USC,Wisconsin,-1,0,,2026-01-25__USC__Wisconsin
2026-01-25,Washington,Oregon,1,0,,2026-01-25__Oregon__Washington
2026-01-25,Wisconsin,USC,1,0,,2026-01-25__USC__Wisconsin
2026-01-26,Abilene Christian,Tarleton St.,-1,0,,2026-01-26__Abilene Christian__Tarleton St.
2026-01-26,Alabama A&M,Prairie View A&M,-1,0,,2026-01-26__Alabama A&M__Prairie View A&M
2026-01-26,Alabama St.,Texas Southern,-1,0,,2026-01-26__Alabama St.__Texas Southern
2026-01-26,Alcorn St.,Bethune Cookman,-1,0,,2026-01-26__Alcorn St.__Bethune Cookman
2026-01-26,Arizona,BYU,-1,0,,2026-01-26__Arizona__BYU
2026-01-26,BYU,Arizona,1,0,,2026-01-26__Arizona__BYU
2026-01-26,Bethune Cookman,Alcorn St.,1,0,,2026-01-26__Alcorn St.__Bethune Cookman
2026-01-26,Central Connecticut,Stonehill,-1,0,,2026-01-26__Central Connecticut__Stonehill
2026-01-26,Coppin St.,Howard,1,0,,2026-01-26__Coppin St.__Howard
2026-01-26,Delaware St.,South Carolina St.,-1,0,,2026-01-26__Delaware St.__South Carolina St.
2026-01-26,Duke,Louisville,1,0,,2026-01-26__Duke__Louisville
2026-01-26,East Texas A&M,Lamar,-1,0,,2026-01-26__East Texas A&M__Lamar
2026-01-26,Fairleigh Dickinson,Le Moyne,1,0,,2026-01-26__Fairleigh Dickinson__Le Moyne
2026-01-26,Florida A&M,Jackson St.,1,0,,2026-01-26__Florida A&M__Jackson St.
2026-01-26,Houston Christian,Incarnate Word,1,0,,2026-01-26__Houston Christian__Incarnate Word
2026-01-26,Howard,Coppin St.,-1,0,,2026-01-26__Coppin St.__Howard
