team,location_value,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,possessions,raw_off_eff,location_value_opp,mp_opp,fg_opp,fga_opp,fg_pct_opp,fg3_opp,fg3a_opp,fg3_pct_opp,ft_opp,fta_opp,ft_pct_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,possessions_opp,raw_off_eff_opp,fg2,fg2a,fg2_pct,efg,rate_3pa,rate_2pa,ft_rate,ftm_rate,tov_rate,orb_rate,drb_rate,ast_rate,stl_rate,blk_rate,pace,def_eff,net_eff,games_played
Abilene Christian,-0.1429,200.0,22.4286,55.5714,0.4056,6.4286,19.1429,0.3331,13.7143,19.8571,0.6791,10.0,18.7143,28.7143,12.2857,9.4286,4.0,12.7143,21.7143,65.0,67.7186,96.6857,0.1429,200.0,21.7143,47.4286,0.455,6.4286,16.5714,0.3953,19.2857,28.0,0.6857,5.8571,19.8571,25.7143,11.7143,8.4286,4.0,12.7143,16.4286,69.1429,67.5857,102.0271,16.0,36.4286,0.4434,0.464,0.3441,0.6559,0.3609,0.251,0.1856,0.333,0.7625,0.1819,0.14,0.0611,13.5437,101.5243,-4.8386,7
Air Force,0.4545,200.0,22.7273,50.7273,0.4467,6.3636,20.1818,0.304,14.3636,22.5455,0.639,7.2727,21.8182,29.0909,12.9091,6.3636,3.1818,12.5455,17.6364,66.1818,66.7082,98.8045,-0.4545,200.0,26.1818,56.9091,0.4603,6.7273,20.6364,0.3258,14.4545,20.2727,0.7205,8.0,21.9091,29.9091,13.0,7.0,3.0,11.1818,19.8182,73.5455,69.7218,105.8145,16.3636,30.5455,0.5365,0.5095,0.3994,0.6006,0.4566,0.2909,0.1888,0.2516,0.7312,0.1919,0.0945,0.0478,13.3416,110.5883,-11.7837,11
Akron,0.3333,200.1111,33.3333,63.1111,0.5307,11.8889,28.0,0.4287,15.3333,20.6667,0.7386,9.1111,23.6667,32.7778,19.7778,7.4444,2.8889,10.0,16.5556,93.8889,73.8189,127.2756,-0.3333,200.0,27.2222,62.6667,0.4392,9.3333,28.1111,0.3352,13.6667,18.4444,0.743,10.4444,18.2222,28.6667,14.8889,5.2222,3.3333,12.5556,16.4444,77.4444,73.5389,106.3033,21.4444,35.1111,0.6128,0.625,0.4431,0.5569,0.329,0.244,0.1354,0.3313,0.6902,0.2678,0.1009,0.039,14.7557,105.2369,22.0387,9
Alabama,0.5556,200.0,32.5556,67.8889,0.4827,12.5556,36.1111,0.3514,17.4444,23.2222,0.7538,10.4444,28.6667,39.1111,18.2222,7.7778,6.2222,9.7778,18.5556,95.1111,78.2511,121.44,-0.5556,200.0,28.7778,68.3333,0.4208,7.4444,24.3333,0.3062,14.2222,21.8889,0.623,10.6667,23.2222,33.8889,13.8889,6.2222,2.3333,10.5556,18.6667,79.2222,78.6189,101.08,20.0,31.7778,0.6274,0.5754,0.5296,0.4704,0.3502,0.2633,0.1248,0.3112,0.7254,0.233,0.0988,0.0805,15.6502,101.5649,19.8751,9
Alabama A&M,-0.1429,200.0,21.7143,55.7143,0.3919,6.0,17.8571,0.3403,14.4286,20.4286,0.7143,7.7143,21.8571,29.5714,8.1429,6.1429,3.0,11.7143,19.0,63.8571,69.42,92.0671,0.1429,200.0,26.5714,57.0,0.4653,6.8571,22.5714,0.3006,15.8571,22.1429,0.7053,9.7143,25.7143,35.4286,15.0,6.7143,2.8571,11.4286,17.8571,75.8571,69.2314,109.4486,15.7143,37.8571,0.4215,0.4468,0.3238,0.6762,0.3752,0.2641,0.169,0.241,0.7013,0.1172,0.0879,0.0433,13.884,109.484,-17.4169,7
Alabama St.,-0.7778,200.0,25.7778,59.7778,0.4329,8.6667,23.0,0.3713,14.0,19.5556,0.6984,8.8889,20.3333,29.2222,12.7778,7.7778,3.5556,12.0,18.6667,74.2222,72.1789,102.9422,0.7778,200.0,28.7778,59.7778,0.4879,9.8889,26.5556,0.3687,15.8889,22.8889,0.6868,10.3333,22.4444,32.7778,17.2222,6.2222,4.1111,12.3333,16.8889,83.3333,72.6489,115.2011,17.1111,36.7778,0.4678,0.5053,0.3851,0.6149,0.331,0.2374,0.1649,0.2845,0.6693,0.1752,0.1073,0.0501,14.4358,115.673,-12.7307,9
Albany,-0.75,200.0,24.375,59.625,0.4146,6.25,23.625,0.2865,10.125,16.375,0.5933,9.125,17.875,27.0,12.75,8.0,2.5,12.25,20.375,65.125,70.5275,93.0188,0.75,200.0,28.375,58.125,0.4898,6.875,21.125,0.3268,18.75,25.0,0.724,10.875,24.375,35.25,16.125,7.75,3.125,11.0,15.125,82.375,70.1262,117.4825,18.125,36.0,0.5051,0.4675,0.3922,0.6078,0.2832,0.1742,0.1729,0.2593,0.6214,0.1803,0.1136,0.0352,14.1055,117.039,-24.0202,8
Alcorn St.,-1.0,198.7,25.1,57.0,0.4389,7.5,20.1,0.3749,8.8,14.3,0.6314,8.1,18.2,26.3,10.3,7.9,4.5,17.2,19.2,66.5,72.891,91.055,1.0,199.3,31.4,61.2,0.5141,8.4,22.9,0.3535,19.1,26.0,0.7143,12.1,22.6,34.7,17.1,9.7,3.0,12.0,14.2,90.3,73.453,122.903,17.6,36.9,0.4838,0.5052,0.3529,0.6471,0.2538,0.1566,0.2339,0.2606,0.5955,0.1407,0.1078,0.0625,14.6737,123.3023,-32.2473,10
American,0.3333,200.0,25.4444,58.6667,0.4341,9.2222,27.3333,0.3303,14.3333,19.2222,0.7303,7.1111,20.6667,27.7778,11.7778,8.3333,1.4444,11.8889,21.0,74.4444,72.5744,102.9522,-0.3333,200.0,24.5556,52.0,0.4734,6.1111,17.3333,0.3429,19.4444,27.3333,0.7008,8.1111,24.7778,32.8889,12.0,7.1111,3.2222,13.8889,18.3333,74.6667,70.76,105.01,16.2222,31.3333,0.5242,0.512,0.4644,0.5356,0.337,0.2521,0.1625,0.2224,0.7237,0.1634,0.1171,0.0196,14.5149,102.3762,0.576,9
Appalachian St.,-0.3333,200.0,23.4444,55.0,0.425,6.8889,24.0,0.2872,11.4444,19.2222,0.5942,9.3333,20.5556,29.8889,11.4444,4.7778,3.0,8.8889,17.8889,65.2222,63.6822,102.1633,0.3333,200.0,23.5556,56.0,0.4183,7.5556,24.0,0.3089,15.8889,20.5556,0.7582,10.1111,22.2222,32.3333,13.1111,5.1111,2.5556,9.4444,17.8889,70.5556,65.1,108.4811,16.5556,31.0,0.5266,0.4887,0.4417,0.5583,0.3559,0.2118,0.1393,0.2958,0.6653,0.1799,0.0735,0.0468,12.7364,111.1819,-9.0186,9
